Pachycara	Pachycara_angeloi,Pachycara_sp
Pholidae	Pholis_gunnellus,Pholis_nebulosa
Zoarcoidei	*Pachycara,Ophthalmolycus_amberensis,Lycodopsis_pacificus,Anarrhichthys_ocellatus,*Pholidae,Dictyosoma_tongyeongensis
Gasterosteiformes	Gasterosteus_aculeatus,Pungitius_pungitius
Pseudoliparis	Pseudoliparis_sp_PHS,Pseudoliparis_sp_YHS,Pseudoliparis_swirei_MHS,Pseudoliparis_sp_DHS
Liparidae	*Pseudoliparis,Liparis_tanakae
Cottidae	Cottus_gobio,Taurulus_bubalis
Lophiidae	Lophius_piscatorius,Antennarius_maculatus
Pleuronectiformes	Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Reinhardtius_hippoglossoides,Verasper_variegatus,Paralichthys_olivaceus,Scophthalmus_maximus,Cynoglossus_semilaevis,Solea_senegalensis
Bassozetus	Bassozetus_sp,Bassozetus_sp2
Ophidiiformes	*Bassozetus,Brotula_multibarbata,Lucifuga_dentata
DeepseaBeryciformes	Acanthochaenus_luetkenii,Cetomimus_sp,Rondeletia_loricata
Beryciformes	*DeepseaBeryciformes,Beryx_spledens
Trachichthyiformes	Anoplogaster_cornuta,Gephyroberyx_darwinii,Hplostethus_atlanticus,Monocentris_japonicus,Diretmoides_pauciradiatus,Diretmus_argenteus
Lampriformes	Lampris_megalopsis,Regalecus_glesne
Gadiformes	Coryphaenoides_rudis,Corphaenoides_rupestris,Macrourus_sp,Malacocephalus_occidentalis,Merluccius_capensis,Merluccius_polli,Merluccius_merluccius,Melanonus_zugmayeri,Muraenolepis_marmoratus,Mora_moro,Bathygadus_melanobranchus,Trachyrincus_murrayi,Trachyrincus_scabrus,Gadus_chalcogrammus,Gadus_morhua,Arctogadus_glacialis,Boreogadus_saida,merlangius_merlangus,Pollachius_virens,Gadiculus_argenteus,Trisopterus_minutus,Molva_molva_Brosme_brosme,Phycis_blennoides,Bregmaceros_cantori
DeepseaAulopiformes	Ipnops_sp,Bathypterois_sp,Bathysaurus_mollis
Aulopiformes	*DeepseaAulopiformes,Parasudis_fraserbrunneri,Harpadon_nehereus
Clade17	Borostomias_antarcticus,Thaleichthys_pacificus,*Aulopiformes,Guentherus_altivela,*Gadiformes,Stylephorus_chordatus,Zeus_faber,*Ophidiiformes,*Pleuronectiformes,Macropodus_opercularis,Oryzias_latipes,Oryzias_melastigma,Gouania_willdenowi,Anoplopoma_fimbria,*Cottidae,Ophiodon_elongatus,Cyclopterus_lumpus,*Liparidae,*Gasterosteiformes,*Zoarcoidei,Sebastes_norvegicus,Trematomus_loennbergii,Dissostichus_mawsoni,*Lophiidae,Takifugu_rubripes_,Thunnus_albacares,Thunnus_maccoyii,Lepturacanthus_savala,Corythoichthys_intestinalis,Thalassophryne_amazonica,*Beryciformes,Myripristis_murdjan,*Trachichthyiformes,*Lampriformes,Benthosema_glaciale,Electrona_antarctica,Salmo_salar
Clade19	Chanos_chanos,Danio_rerio,Clupea_harengus,*Clade17
Anguilla	Anguilla_anguilla,Anguilla_rostrata,Anguilla_megastoma,Anguilla_obscura
Ilyophis	Ilyophis_brunneus,Ilyophis_sp
Anguilliformes	*Ilyophis,*Anguilla
Clade21	*Clade19,*Anguilliformes,Megalops_cyprinoides
root	*Clade21,Scleropages_formosus
