ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0006468	protein phosphorylation	13/413	42/2488	0.0149388409804044	0.830461860943021	0.830461860943021	N1.HOG0007476/N1.HOG0026370/N1.HOG0006355/N1.HOG0025978/N1.HOG0024375/N1.HOG0027378/N1.HOG0013451/N1.HOG0020874/N1.HOG0003990/N1.HOG0025120/N1.HOG0002631/N1.HOG0026994/N1.HOG0003986	13	mink1/csnk2a4/acvr1ba/csnk2a1/cdc7/sik1/mapk15/si:ch73-206d17.1/ror2/rps6kb1a/matk/pdik1l/adck2
GO:0006508	proteolysis	18/413	67/2488	0.0212852593131632	0.830461860943021	0.830461860943021	N1.HOG0013877/N1.HOG0002067/N1.HOG0009273/N1.HOG0012957/N1.HOG0025609/N1.HOG0002295/N1.HOG0026220/N1.HOG0018406/N1.HOG0002289/N1.HOG0027064/N1.HOG0012203/N1.HOG0020568/N1.HOG0026863/N1.HOG0012221/N1.HOG0009742/N1.HOG0025372/N1.HOG0022959/N1.HOG0018115	18	gzm3.3/gzm3.4/cpo/erap2/mmp17b/LOC100332177/f7/cflara/cops5/psmd8/casp9/zgc:110239/mmp23bb/si:ch1073-280e3.1/pcolcea/mmp14b/cndp1/proza/spg7/prepl
GO:0006281	DNA repair	11/413	36/2488	0.0267813688375369	0.830461860943021	0.830461860943021	N1.HOG0022315/N1.HOG0026282/N1.HOG0024522/N1.HOG0021829/N1.HOG0024488/N1.HOG0025877/N1.HOG0022028/N1.HOG0009812/N1.HOG0025770/N1.HOG0023953/N1.HOG0023367	11	ercc1/swi5/ruvbl1/ufl1/rad1/abraxas1/zgc:112496/tdg.1/mpg/alkbh3/pold2
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	7/413	19/2488	0.0270068897867649	0.830461860943021	0.830461860943021	N1.HOG0020909/N1.HOG0024240/N1.HOG0018406/N1.HOG0020586/N1.HOG0012565/N1.HOG0024574/N1.HOG0024118	7	klhl22/dtl/appbp2/plaa/rnf34a/psmd8/pcnp
GO:0051301	cell division	10/413	33/2488	0.0359598603465693	0.884612564525605	0.884612564525605	N1.HOG0024240/N1.HOG0008108/N1.HOG0022027/N1.HOG0025443/N1.HOG0010273/N1.HOG0020292/N1.HOG0005870/N1.HOG0006545/N1.HOG0011479/N1.HOG0022091	10	spc25/ensab/klhl22/cdc14b/zgc:63587/cdca8/ncapd2/anapc7/fsd1/pard6gb
GO:0007596	blood coagulation	4/413	10/2488	0.0684664501726709	0.907742836026967	0.907742836026967	N1.HOG0004716/N1.HOG0002295/N1.HOG0025564/N1.HOG0002289	4	p2ry12/f7/enpp5/proza
GO:0009058	biosynthetic process	4/413	10/2488	0.0684664501726709	0.907742836026967	0.907742836026967	N1.HOG0024400/N1.HOG0018879/N1.HOG0025646/N1.HOG0020377	4	pbld/got2b/gcat/got2a/eif2b5
GO:0006974	cellular response to DNA damage stimulus	10/413	37/2488	0.0733531350099448	0.907742836026967	0.907742836026967	N1.HOG0022315/N1.HOG0026282/N1.HOG0024522/N1.HOG0025551/N1.HOG0021829/N1.HOG0018090/N1.HOG0024488/N1.HOG0025770/N1.HOG0024574/N1.HOG0023367	10	ercc1/swi5/dtl/ruvbl1/txndc12/yars1/ufl1/rad1/abraxas1/mpg
GO:0042981	regulation of apoptotic process	6/413	19/2488	0.0803381080440773	0.907742836026967	0.907742836026967	N1.HOG0025609/N1.HOG0025752/N1.HOG0027378/N1.HOG0023268/N1.HOG0016630/N1.HOG0018115	6	bcl2b/nod1/LOC100332177/cflara/psmd10/casp9/si:ch73-206d17.1
GO:0007507	heart development	8/413	29/2488	0.0938251349190341	0.907742836026967	0.907742836026967	N1.HOG0021829/N1.HOG0020288/N1.HOG0010698/N1.HOG0004589/N1.HOG0020292/N1.HOG0023143/N1.HOG0017496/N1.HOG0023488	8	coa6/ugdh/birc5b/nkx2.5/ruvbl1/erp44/bves/cdca8
GO:0030218	erythrocyte differentiation	4/413	11/2488	0.0939723701520455	0.907742836026967	0.907742836026967	N1.HOG0022147/N1.HOG0021264/N1.HOG0010794/N1.HOG0023367	4	gfi1b/sparc/uba5/ufl1
GO:0042074	cell migration involved in gastrulation	4/413	11/2488	0.0939723701520455	0.907742836026967	0.907742836026967	N1.HOG0012957/N1.HOG0018193/N1.HOG0009657/N1.HOG0023378	4	def6a/cthrc1a/churc1/cthrc1b/mmp14b
GO:0006260	DNA replication	5/413	16/2488	0.111191412490195	0.907742836026967	0.907742836026967	N1.HOG0024112/N1.HOG0022028/N1.HOG0025099/N1.HOG0024574/N1.HOG0023604	5	polg/dtl/prim1/pold3/pold2
GO:0016311	dephosphorylation	5/413	16/2488	0.111191412490195	0.907742836026967	0.907742836026967	N1.HOG0008108/N1.HOG0024473/N1.HOG0022922/N1.HOG0024014/N1.HOG0024042	5	si:ch211-203d1.3/ptpn1/cdc14b/fra10ac1/nanp
GO:0051216	cartilage development	4/413	12/2488	0.123252177766641	0.907742836026967	0.907742836026967	N1.HOG0012957/N1.HOG0023252/N1.HOG0010794/N1.HOG0012239	4	sparc/marcksl1a/polr1d/mmp14b
