ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0034765	regulation of monoatomic ion transmembrane transport	6/342	32/6424	0.00608256643489584	0.689177461983169	0.689177461983169	N1.HOG0002377/N1.HOG0020043/N1.HOG0010406/N1.HOG0011335/N1.HOG0013252/N1.HOG0011420	6	cacnb1/kcnj8/cacna1bb/cacna1sa/cacna1fa/kcng1
GO:0070588	calcium ion transmembrane transport	5/342	24/6424	0.00763047747537467	0.689177461983169	0.689177461983169	N1.HOG0002377/N1.HOG0010406/N1.HOG0013252/N1.HOG0011420/N1.HOG0013042	5	cacnb1/slc24a6a/cacna1bb/cacna1sa/cacna1fa
GO:0048701	embryonic cranial skeleton morphogenesis	5/342	27/6424	0.0127180796174088	0.689177461983169	0.689177461983169	N1.HOG0013487/N1.HOG0017250/N1.HOG0011557/N1.HOG0019546/N1.HOG0024494	5	tp73/bicra/gnptab/wnt9a/prdm16
GO:0006357	regulation of transcription by RNA polymerase II	31/342	387/6424	0.0137943810248313	0.689177461983169	0.689177461983169	N1.HOG0022328/N1.HOG0009634/N1.HOG0021151/N1.HOG0021995/N1.HOG0009608/N1.HOG0023637/N1.HOG0020211/N1.HOG0018834/N1.HOG0017770/N1.HOG0008407/N1.HOG0011758/N1.HOG0007564/N1.HOG0011519/N1.HOG0018224/N1.HOG0026380/N1.HOG0013470/N1.HOG0019117/N1.HOG0017951/N1.HOG0019428/N1.HOG0014027/N1.HOG0010151/N1.HOG0019607/N1.HOG0013904/N1.HOG0011557/N1.HOG0025982/N1.HOG0025965/N1.HOG0026237/N1.HOG0019896/N1.HOG0023037/N1.HOG0018031/N1.HOG0009607	31	nrip1b/si:dkey-109j17.5/rbl2/cdkn2d/onecutl/plagl2/pou3f1/ebf2/znf710a/zgc:77151/tp73/epc2/tfdp1a/mnat1/rbpjl/lhx9/znf367/tox3/purab/nkx6.3/smarcd3b/zfhx3a/pias2/smarcd3a/med12/sall3b/hoxc1a/hoxc13a/shox/lhx2b/egr4/lpin1a
GO:0006816	calcium ion transport	5/342	29/6424	0.0171537694427269	0.689177461983169	0.689177461983169	N1.HOG0002377/N1.HOG0010406/N1.HOG0013252/N1.HOG0011420/N1.HOG0013042	5	cacnb1/slc24a6a/cacna1bb/cacna1sa/cacna1fa
GO:0048702	embryonic neurocranium morphogenesis	3/342	11/6424	0.0179267427881149	0.689177461983169	0.689177461983169	N1.HOG0022328/N1.HOG0013487/N1.HOG0017250	3	med12/wnt9a/prdm16
GO:0016575	histone deacetylation	3/342	12/6424	0.0229764501155145	0.689177461983169	0.689177461983169	N1.HOG0015138/N1.HOG0015732/N1.HOG0018776	3	hdac12/mta2/hdac8
GO:0006979	response to oxidative stress	4/342	21/6424	0.0229970159381174	0.689177461983169	0.689177461983169	N1.HOG0021588/N1.HOG0022286/N1.HOG0023883/N1.HOG0017409	4	cat/naprt/park7/serpini1
GO:0008285	negative regulation of cell population proliferation	4/342	21/6424	0.0229970159381174	0.689177461983169	0.689177461983169	N1.HOG0017588/N1.HOG0014591/N1.HOG0025368/N1.HOG0018000	4	si:dkey-79d12.5/btg1/apc/smyd2b
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	4/342	22/6424	0.0269609190349834	0.689177461983169	0.689177461983169	N1.HOG0004384/N1.HOG0014520/N1.HOG0022578/N1.HOG0018771	4	cntn3a.2/frem1a/celsr2/fat2
GO:0051726	regulation of cell cycle	6/342	44/6424	0.0277988065834314	0.689177461983169	0.689177461983169	N1.HOG0008407/N1.HOG0019117/N1.HOG0025857/N1.HOG0018000/N1.HOG0024443/N1.HOG0011557	6	rbl2/mdm4/tp73/apc/tfdp1a/trim36
GO:0001503	ossification	3/342	13/6424	0.0287157275826321	0.689177461983169	0.689177461983169	N1.HOG0013487/N1.HOG0019597/N1.HOG0019607	3	uxs1/shox/wnt9a
GO:0008104	protein localization	3/342	14/6424	0.0351398509805474	0.778482852492128	0.778482852492128	N1.HOG0004384/N1.HOG0011893/N1.HOG0025769	3	atp6ap1b/clrn1/celsr2
GO:0032259	methylation	9/342	88/6424	0.0435272184557546	0.802511242143512	0.802511242143512	N1.HOG0000938/N1.HOG0014591/N1.HOG0020397/N1.HOG0021062/N1.HOG0024197/N1.HOG0014299/N1.HOG0024005/N1.HOG0004796/N1.HOG0006247	9	dnmt3bb.1/prdm9/lcmt1/eef1akmt2/prmt3/setd1a/hemk1/comta/comtb/smyd2b
GO:0043087	regulation of GTPase activity	3/342	17/6424	0.0583920166322028	0.802511242143512	0.802511242143512	N1.HOG0026254/N1.HOG0001915/N1.HOG0014858	3	rasa1a/ephb3a/trappc6bl/rasa1b
GO:0060218	hematopoietic stem cell differentiation	3/342	17/6424	0.0583920166322028	0.802511242143512	0.802511242143512	N1.HOG0020349/N1.HOG0013487/N1.HOG0017250	3	wnt9a/wnt16/prdm16
GO:0006897	endocytosis	5/342	41/6424	0.0647017955551298	0.802511242143512	0.802511242143512	N1.HOG0019565/N1.HOG0016478/N1.HOG0025511/N1.HOG0008086/N1.HOG0024436	5	dennd1c/rhobtb2b/si:dkey-98f17.5/gtf2a1l/rabep2
GO:0060070	canonical Wnt signaling pathway	4/342	30/6424	0.0726233665205166	0.802511242143512	0.802511242143512	N1.HOG0020349/N1.HOG0013487/N1.HOG0023356/N1.HOG0015155	4	fzd4/plpp3/wnt9a/wnt16
GO:0090090	negative regulation of canonical Wnt signaling pathway	3/342	19/6424	0.0770069861549188	0.802511242143512	0.802511242143512	N1.HOG0019175/N1.HOG0018000/N1.HOG0013582	3	apc/apc2/axin2
GO:0007166	cell surface receptor signaling pathway	4/342	32/6424	0.0878327536379029	0.802511242143512	0.802511242143512	N1.HOG0004384/N1.HOG0023356/N1.HOG0006805/N1.HOG0005501	4	cd247/fzd4/celsr2/gcgra
GO:0007411	axon guidance	5/342	46/6424	0.0958115765092638	0.802511242143512	0.802511242143512	N1.HOG0002032/N1.HOG0014520/N1.HOG0001915/N1.HOG0009995/N1.HOG0009607	5	cntn3a.2/lamc1/ephb3a/kif5c/lhx2b
GO:0003009	skeletal muscle contraction	2/342	10/6424	0.0958556085141908	0.802511242143512	0.802511242143512	N1.HOG0012510/N1.HOG0016176	2	tnnc1b/tnni1d
GO:0009416	response to light stimulus	2/342	10/6424	0.0958556085141908	0.802511242143512	0.802511242143512	N1.HOG0002961/N1.HOG0009607	2	lhx2b/cry5
GO:0009968	negative regulation of signal transduction	2/342	10/6424	0.0958556085141908	0.802511242143512	0.802511242143512	N1.HOG0020128/N1.HOG0008401	2	hhip/pmepa1
GO:0060038	cardiac muscle cell proliferation	2/342	10/6424	0.0958556085141908	0.802511242143512	0.802511242143512	N1.HOG0017250/N1.HOG0020301	2	npr3/prdm16
GO:0031290	retinal ganglion cell axon guidance	3/342	22/6424	0.109062515735295	0.802511242143512	0.802511242143512	N1.HOG0018000/N1.HOG0009995/N1.HOG0009607	3	lamc1/apc/lhx2b
GO:0006414	translational elongation	2/342	11/6424	0.113173134231097	0.802511242143512	0.802511242143512	N1.HOG0023333/N1.HOG0005313	2	tcea3/gfm1
GO:0006783	heme biosynthetic process	2/342	11/6424	0.113173134231097	0.802511242143512	0.802511242143512	N1.HOG0020469/N1.HOG0009595	2	cox10/snx3
GO:0032456	endocytic recycling	2/342	11/6424	0.113173134231097	0.802511242143512	0.802511242143512	N1.HOG0019565/N1.HOG0009595	2	dennd1c/snx3
GO:0042632	cholesterol homeostasis	2/342	11/6424	0.113173134231097	0.802511242143512	0.802511242143512	N1.HOG0022285/N1.HOG0009287	2	lamtor1/cyp7b1
GO:0043410	positive regulation of MAPK cascade	2/342	11/6424	0.113173134231097	0.802511242143512	0.802511242143512	N1.HOG0013166/N1.HOG0022285	2	lamtor1/gpr37l1a
GO:0072015	podocyte development	2/342	11/6424	0.113173134231097	0.802511242143512	0.802511242143512	N1.HOG0021335/N1.HOG0009189	2	anln/brca2
GO:0030198	extracellular matrix organization	4/342	35/6424	0.113250604989441	0.802511242143512	0.802511242143512	N1.HOG0017347/N1.HOG0019597/N1.HOG0021368/N1.HOG0023147	4	uxs1/col9a2/hmcn2/emid1
GO:0009966	regulation of signal transduction	3/342	23/6424	0.120725636185013	0.802511242143512	0.802511242143512	N1.HOG0012628/N1.HOG0020408/N1.HOG0022325	3	gpc1b/ncoa5/gpc2
GO:0006351	DNA-templated transcription	4/342	36/6424	0.122371674677878	0.802511242143512	0.802511242143512	N1.HOG0005313/N1.HOG0010151/N1.HOG0011778/N1.HOG0010742	4	si:ch73-181d5.4/plagl2/tcea3/mef2cb
GO:0007165	signal transduction	23/342	335/6424	0.123602672361282	0.802511242143512	0.802511242143512	N1.HOG0017960/N1.HOG0010279/N1.HOG0004384/N1.HOG0008722/N1.HOG0005949/N1.HOG0000468/N1.HOG0023119/N1.HOG0009538/N1.HOG0026254/N1.HOG0013166/N1.HOG0000810/N1.HOG0022838/N1.HOG0017394/N1.HOG0011725/N1.HOG0005917/N1.HOG0020301/N1.HOG0017636/N1.HOG0012184/N1.HOG0010595/N1.HOG0006805/N1.HOG0005969/N1.HOG0026800/N1.HOG0002217	23	scube3/rasa1a/ptafr/agap1/olfcx3/ghsrb/tnfrsfa/mob3a/tlr21/tnfrsf1a/arhgap28/unc5b/celsr2/gcgra/rasa1b/tnfrsf21/grm3/gpr37l1a/irak3/npr3/olfcu1/olfcx2/olfcx1/gpr3/or55e1/ralgds
GO:0006364	rRNA processing	5/342	50/6424	0.125247122010956	0.802511242143512	0.802511242143512	N1.HOG0020383/N1.HOG0023520/N1.HOG0025023/N1.HOG0022383/N1.HOG0024893	5	wdr36/dcaf13/ddx51/exosc9/naf1
GO:0006325	chromatin organization	6/342	65/6424	0.13060456205506	0.802511242143512	0.802511242143512	N1.HOG0012384/N1.HOG0019150/N1.HOG0000938/N1.HOG0015138/N1.HOG0014591/N1.HOG0004796	6	kdm5ba/prdm9/hdac8/setd1a/smyd2b/kdm4c
GO:0016055	Wnt signaling pathway	6/342	65/6424	0.13060456205506	0.802511242143512	0.802511242143512	N1.HOG0020349/N1.HOG0013487/N1.HOG0023356/N1.HOG0019175/N1.HOG0018000/N1.HOG0013582	6	fzd4/apc/apc2/axin2/wnt9a/wnt16
GO:0006935	chemotaxis	2/342	12/6424	0.131212471054213	0.802511242143512	0.802511242143512	N1.HOG0017394/N1.HOG0024567	2	ptafr/si:dkey-12h9.6
GO:0030282	bone mineralization	2/342	12/6424	0.131212471054213	0.802511242143512	0.802511242143512	N1.HOG0020349/N1.HOG0019607	2	shox/wnt16
GO:0007049	cell cycle	10/342	126/6424	0.133163246411896	0.802511242143512	0.802511242143512	N1.HOG0024020/N1.HOG0021995/N1.HOG0024240/N1.HOG0008407/N1.HOG0010624/N1.HOG0025340/N1.HOG0021788/N1.HOG0025443/N1.HOG0022844/N1.HOG0011557	10	spc25/rbl2/klhl22/mcm2/mcmbp/tp73/siah2l/mnat1/ccar1/anapc10
GO:0055085	transmembrane transport	14/342	190/6424	0.134760005970877	0.802511242143512	0.802511242143512	N1.HOG0016993/N1.HOG0002377/N1.HOG0025607/N1.HOG0013746/N1.HOG0015480/N1.HOG0026034/N1.HOG0016412/N1.HOG0011335/N1.HOG0013252/N1.HOG0016256/N1.HOG0011420/N1.HOG0004398/N1.HOG0013042/N1.HOG0024911	14	si:dkey-166k12.1/abcb6b/slc25a10a/clcnk/slc39a10/slc25a10b/slc30a9/slc24a6a/cacna1bb/abcb6a/slc4a2a/slc5a3b/cacna1sa/slc7a6/cacna1fa/kcng1
GO:0007275	multicellular organism development	18/342	256/6424	0.136788825049976	0.802511242143512	0.802511242143512	N1.HOG0022328/N1.HOG0004384/N1.HOG0022848/N1.HOG0018984/N1.HOG0010624/N1.HOG0020349/N1.HOG0013487/N1.HOG0022838/N1.HOG0019428/N1.HOG0019597/N1.HOG0001915/N1.HOG0019607/N1.HOG0013582/N1.HOG0026835/N1.HOG0026187/N1.HOG0025965/N1.HOG0026237/N1.HOG0018031	18	thoc6/uxs1/ephb3a/pou3f1/ebf2/zc4h2/gnrh3/siah2l/dync2li1/unc5b/celsr2/med12/hoxc1a/hoxc13a/axin2/shox/wnt9a/wnt16
GO:0016477	cell migration	5/342	52/6424	0.141355971293018	0.802511242143512	0.802511242143512	N1.HOG0012628/N1.HOG0001915/N1.HOG0017503/N1.HOG0019175/N1.HOG0018000	5	ephb3a/apc/gpc1b/apc2/wwc3
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	4/342	38/6424	0.141508019951271	0.802511242143512	0.802511242143512	N1.HOG0026729/N1.HOG0024240/N1.HOG0010624/N1.HOG0018908	4	klhl22/siah2l/ube2wa/trim2b
GO:0005975	carbohydrate metabolic process	7/342	82/6424	0.145244609406128	0.802511242143512	0.802511242143512	N1.HOG0026355/N1.HOG0015138/N1.HOG0025108/N1.HOG0021590/N1.HOG0013627/N1.HOG0019796/N1.HOG0011161	7	myorg/chst11/hdac8/lancl1/mpi/si:ch211-236l14.4/pargl
GO:0006811	monoatomic ion transport	14/342	193/6424	0.147116452236303	0.802511242143512	0.802511242143512	N1.HOG0002377/N1.HOG0025607/N1.HOG0013746/N1.HOG0020043/N1.HOG0026034/N1.HOG0011473/N1.HOG0010406/N1.HOG0011335/N1.HOG0013252/N1.HOG0011420/N1.HOG0013042/N1.HOG0011879/N1.HOG0020242/N1.HOG0024911	14	tmem175/clcnk/slc39a10/ttyh2l/cacnb1/slc30a9/kcnj8/slc24a6a/cacna1bb/best4/slc4a2a/cacna1sa/cacna1fa/kcng1
GO:0006749	glutathione metabolic process	2/342	13/6424	0.1498482425945	0.802511242143512	0.802511242143512	N1.HOG0022048/N1.HOG0026036	2	oplah/gsr
GO:0016197	endosomal transport	2/342	13/6424	0.1498482425945	0.802511242143512	0.802511242143512	N1.HOG0022285/N1.HOG0024436	2	lamtor1/si:dkey-98f17.5
GO:0031047	RNA-mediated gene silencing	2/342	13/6424	0.1498482425945	0.802511242143512	0.802511242143512	N1.HOG0002889/N1.HOG0024504	2	ago4/eri1
GO:0034599	cellular response to oxidative stress	2/342	13/6424	0.1498482425945	0.802511242143512	0.802511242143512	N1.HOG0026036/N1.HOG0023883	2	park7/gsr
GO:0030182	neuron differentiation	5/342	54/6424	0.158314832420363	0.802511242143512	0.802511242143512	N1.HOG0022328/N1.HOG0009608/N1.HOG0020349/N1.HOG0013487/N1.HOG0009607	5	lhx9/med12/wnt9a/wnt16/lhx2b
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	2/342	14/6424	0.168966307863493	0.802511242143512	0.802511242143512	N1.HOG0017222/N1.HOG0024796	2	dcp2/upf3a
GO:0000281	mitotic cytokinesis	2/342	14/6424	0.168966307863493	0.802511242143512	0.802511242143512	N1.HOG0018000/N1.HOG0021335	2	apc/anln
GO:0007154	cell communication	2/342	14/6424	0.168966307863493	0.802511242143512	0.802511242143512	N1.HOG0022578/N1.HOG0016358	2	frem1a/gja8b/gja8a
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	2/342	14/6424	0.168966307863493	0.802511242143512	0.802511242143512	N1.HOG0024092/N1.HOG0013582	2	arih2/axin2
GO:0033333	fin development	2/342	14/6424	0.168966307863493	0.802511242143512	0.802511242143512	N1.HOG0020128/N1.HOG0022578	2	frem1a/hhip
GO:0050821	protein stabilization	2/342	14/6424	0.168966307863493	0.802511242143512	0.802511242143512	N1.HOG0021578/N1.HOG0023883	2	otud3/park7
GO:0007283	spermatogenesis	3/342	27/6424	0.171385179878339	0.802511242143512	0.802511242143512	N1.HOG0012260/N1.HOG0009189/N1.HOG0007954	3	larp7/hormad1/brca2
GO:1902600	proton transmembrane transport	2/342	15/6424	0.188462925966924	0.802511242143512	0.802511242143512	N1.HOG0011893/N1.HOG0020412	2	atp6ap1b/otop1
