ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0006468	protein phosphorylation	49/1131	152/5068	0.00270776919944655	0.438654400856653	0.438654400856653	N1.HOG0004656/N1.HOG0004527/N1.HOG0024874/N1.HOG0007476/N1.HOG0020273/N1.HOG0014135/N1.HOG0023231/N1.HOG0013463/N1.HOG0006355/N1.HOG0022337/N1.HOG0021957/N1.HOG0019313/N1.HOG0019312/N1.HOG0018906/N1.HOG0012342/N1.HOG0020567/N1.HOG0021933/N1.HOG0014899/N1.HOG0024225/N1.HOG0025297/N1.HOG0023456/N1.HOG0017722/N1.HOG0021198/N1.HOG0008283/N1.HOG0006728/N1.HOG0024253/N1.HOG0004730/N1.HOG0004772/N1.HOG0017297/N1.HOG0010521/N1.HOG0020138/N1.HOG0024281/N1.HOG0020619/N1.HOG0020874/N1.HOG0003735/N1.HOG0008493/N1.HOG0026604/N1.HOG0024864/N1.HOG0006677/N1.HOG0009511/N1.HOG0020402/N1.HOG0022826/N1.HOG0012825/N1.HOG0009459/N1.HOG0004526/N1.HOG0024401/N1.HOG0006356/N1.HOG0012018/N1.HOG0017638	49	aatka/dyrk1aa/si:ch211-1i11.3/dyrk3/gak/dclk3/nek8/acvrl1/plk1/acvr1ba/ret/scyl3/sgk1/plk3/vrk2/pdpk1b/cdk7/mapkapk5/prkacab/mastl/pink1/grk1b/camkvl/sik1/camk1a/acvr1bb/sbk1/pdk4/nuak1b/nrbp2b/nlk2/sgk3/lmtk2/tnk1/pkdccb/stk36/mylk4a/frk/lats2/csf1rb/pdik1l/abl2/sgk2a/rps6ka2/map4k2/pdpk1a/cdk4/camk1b/nim1kb/si:ch211-220i18.4/cdk17
GO:0007399	nervous system development	24/1131	64/5068	0.00404843490954776	0.438654400856653	0.438654400856653	N1.HOG0010899/N1.HOG0021675/N1.HOG0013410/N1.HOG0019937/N1.HOG0006355/N1.HOG0015435/N1.HOG0024925/N1.HOG0005930/N1.HOG0021172/N1.HOG0022169/N1.HOG0019076/N1.HOG0017061/N1.HOG0007380/N1.HOG0013862/N1.HOG0019175/N1.HOG0009187/N1.HOG0022977/N1.HOG0022430/N1.HOG0024360/N1.HOG0014150/N1.HOG0007990/N1.HOG0005975/N1.HOG0006356/N1.HOG0021337	24	si:dkey-22o12.2/zgc:162707/kifbp/stmn2b/cables1/igf2bp2a/sox19a/wnt1/acvr1ba/sema3aa/foxn4/gap43/nrsn1/rtn4ip1/irx1a/rbfox1l/impact/stmn2a/igf2bp2b/kdm1a/acvr1bb/ppp1r9a/apc2/fezf2/sox19b/fgf8b/unc119b/numb
GO:0018105	peptidyl-serine phosphorylation	14/1131	32/5068	0.00551230635343712	0.438654400856653	0.438654400856653	N1.HOG0004656/N1.HOG0004527/N1.HOG0024874/N1.HOG0023231/N1.HOG0019313/N1.HOG0019312/N1.HOG0020567/N1.HOG0024253/N1.HOG0004772/N1.HOG0017297/N1.HOG0006677/N1.HOG0020402/N1.HOG0004526/N1.HOG0012018	14	dyrk1aa/dyrk3/sgk1/vrk2/pdpk1b/mapkapk5/prkacab/mastl/camkvl/camk1a/sbk1/sgk3/lats2/sgk2a/pdpk1a/camk1b
GO:0001822	kidney development	7/1131	12/5068	0.00737240739691641	0.438654400856653	0.438654400856653	N1.HOG0022328/N1.HOG0022101/N1.HOG0005922/N1.HOG0026985/N1.HOG0021412/N1.HOG0005631/N1.HOG0010562	7	kcnj10a/invs/ap1m2/c1galt1la/nphs2/kif14/med12
GO:0048514	blood vessel morphogenesis	8/1131	15/5068	0.00847402379053407	0.438654400856653	0.438654400856653	N1.HOG0024699/N1.HOG0003187/N1.HOG0010873/N1.HOG0021933/N1.HOG0021550/N1.HOG0016352/N1.HOG0022002/N1.HOG0020239	8	acvrl1/krit1/med14/rab13/spred1/snx5/etsrp/yap1
GO:0006414	translational elongation	6/1131	10/5068	0.0111008395912725	0.438654400856653	0.438654400856653	N1.HOG0025069/N1.HOG0021471/N1.HOG0025313/N1.HOG0005738/N1.HOG0014171/N1.HOG0002864	6	eef1g/eef1a1l1/eef1a1l3/tufm/eef1da/eefsec/eef1a1l2
GO:0008202	steroid metabolic process	10/1131	22/5068	0.0133879075037801	0.438654400856653	0.438654400856653	N1.HOG0027183/N1.HOG0011308/N1.HOG0011941/N1.HOG0009699/N1.HOG0009701/N1.HOG0022171/N1.HOG0009288/N1.HOG0025605/N1.HOG0023069/N1.HOG0025569	10	bdh1/pcsk9/erlin2/dhrs9/lbr/cyp7a1/cyp51/mvk/tm7sf2/dhcr24
GO:0007369	gastrulation	8/1131	16/5068	0.0136813459154875	0.438654400856653	0.438654400856653	N1.HOG0023517/N1.HOG0017060/N1.HOG0022498/N1.HOG0023846/N1.HOG0018868/N1.HOG0025697/N1.HOG0017408/N1.HOG0006560	8	bbs10/bbs2/bcl2l10/bbs7/plekhg5a/bbs1/ttc21b/xpnpep3
GO:0006954	inflammatory response	14/1131	35/5068	0.0138376782604622	0.438654400856653	0.438654400856653	N1.HOG0004527/N1.HOG0016410/N1.HOG0022952/N1.HOG0013463/N1.HOG0019218/N1.HOG0004795/N1.HOG0021483/N1.HOG0000879/N1.HOG0000880/N1.HOG0018847/N1.HOG0005390/N1.HOG0023883/N1.HOG0017005/N1.HOG0002307	14	ccl20a.3/il1fma/ptgs2a/sgk1/mpx/ptger2a/tlr3/tnfa/rel/park7/ccl20b/afap1l2/csf1rb/si:ch211-171h4.6/si:ch73-160i9.1/si:ch73-160i9.2/si:ch73-160i9.3
GO:0030182	neuron differentiation	14/1131	35/5068	0.0138376782604622	0.438654400856653	0.438654400856653	N1.HOG0022328/N1.HOG0021675/N1.HOG0005972/N1.HOG0018053/N1.HOG0006433/N1.HOG0008139/N1.HOG0020013/N1.HOG0013862/N1.HOG0006364/N1.HOG0010186/N1.HOG0018738/N1.HOG0026738/N1.HOG0005975/N1.HOG0009607	14	draxinb/wnt4/wnt1/wnt10b/rtn1a/rtn1b/smarca4a/emx1/acsl4a/irx1a/lmx1a/med12/draxina/fgf8b/lhx2b/lhx2a
GO:0006493	protein O-linked glycosylation	7/1131	14/5068	0.0209592426267805	0.604007264789948	0.604007264789948	N1.HOG0021938/N1.HOG0021009/N1.HOG0024184/N1.HOG0025959/N1.HOG0024021/N1.HOG0017603/N1.HOG0010540	7	b3galt4/galnt7/b3galnt2/pomt2/galnt17/poglut1/galnt16
GO:0035556	intracellular signal transduction	28/1131	89/5068	0.0281684376641336	0.744116228294197	0.744116228294197	N1.HOG0004527/N1.HOG0014135/N1.HOG0005942/N1.HOG0009385/N1.HOG0019312/N1.HOG0018906/N1.HOG0018915/N1.HOG0023042/N1.HOG0020567/N1.HOG0008114/N1.HOG0014899/N1.HOG0015065/N1.HOG0024253/N1.HOG0024956/N1.HOG0005070/N1.HOG0020619/N1.HOG0020874/N1.HOG0003735/N1.HOG0019624/N1.HOG0009848/N1.HOG0008324/N1.HOG0009511/N1.HOG0021621/N1.HOG0013918/N1.HOG0004526/N1.HOG0023173/N1.HOG0010933/N1.HOG0017638	28	gucy1b1/wsb2/arhgef38/dclk3/smad2/dvl2/sgk1/asb2b/pdpk1b/asb7/sh3bp5la/mastl/net1/asb4/gucy1a1/sik1/plcd1a/nuak1b/nrbp2b/nlk2/sgk3/sgk2a/rps6ka2/map4k2/dgkaa/pdpk1a/asb11/rgs9b/nim1kb
GO:0051028	mRNA transport	7/1131	15/5068	0.0318838091084961	0.777474422107174	0.777474422107174	N1.HOG0005516/N1.HOG0024660/N1.HOG0025379/N1.HOG0005930/N1.HOG0025659/N1.HOG0022683/N1.HOG0024796	7	igf2bp2a/ndc1/eif4a3/nup42/nup85/igf2bp2b/upf3a/sec13
GO:0016310	phosphorylation	50/1131	179/5068	0.0429012831477177	0.949823210681604	0.949823210681604	N1.HOG0004656/N1.HOG0004527/N1.HOG0024874/N1.HOG0007476/N1.HOG0014135/N1.HOG0002679/N1.HOG0019974/N1.HOG0023231/N1.HOG0013463/N1.HOG0022633/N1.HOG0003817/N1.HOG0006355/N1.HOG0023956/N1.HOG0022337/N1.HOG0021957/N1.HOG0010508/N1.HOG0022680/N1.HOG0019564/N1.HOG0021668/N1.HOG0012342/N1.HOG0020567/N1.HOG0021933/N1.HOG0014899/N1.HOG0025297/N1.HOG0023456/N1.HOG0008283/N1.HOG0022171/N1.HOG0024253/N1.HOG0004730/N1.HOG0004772/N1.HOG0017297/N1.HOG0025315/N1.HOG0024281/N1.HOG0003735/N1.HOG0008493/N1.HOG0026604/N1.HOG0024864/N1.HOG0020402/N1.HOG0020060/N1.HOG0022826/N1.HOG0012825/N1.HOG0009459/N1.HOG0013918/N1.HOG0004526/N1.HOG0024401/N1.HOG0006356/N1.HOG0012018/N1.HOG0005844/N1.HOG0003142/N1.HOG0017638	50	dyrk1aa/dyrk3/nek8/acvrl1/plk1/nme3/nme7/acvr1ba/ret/ak2/sgk1/tk1/plk3/sephs3/itpka/vrk2/cdk7/cmpk/rbks/mapkapk5/prkacab/mastl/ak1/tpk1/mvk/pink1/grk1b/camk1a/acvr1bb/pdk4/nlk2/sgk3/tnk1/mylk4a/frk/lats2/csf1rb/pdik1l/pfkla/abl2/sgk2a/rps6ka2/psmb7/map4k2/dgkaa/cdk4/galk2/camk1b/nim1kb/si:ch211-220i18.4/cdk17
GO:0006904	vesicle docking involved in exocytosis	5/1131	10/5068	0.0504635183224906	0.949823210681604	0.949823210681604	N1.HOG0020787/N1.HOG0003187/N1.HOG0024732/N1.HOG0012651/N1.HOG0020533	5	scfd1/rab13/stxbp2/rab12/stxbp1a
GO:0018230	peptidyl-L-cysteine S-palmitoylation	5/1131	10/5068	0.0504635183224906	0.949823210681604	0.949823210681604	N1.HOG0004404/N1.HOG0004405/N1.HOG0009973/N1.HOG0024270/N1.HOG0022884	5	zdhhc21/zdhhc18b/zdhhc15a/zdhhc2/zdhhc4/zdhhc15b
GO:0031101	fin regeneration	11/1131	30/5068	0.0525992920322916	0.949823210681604	0.949823210681604	N1.HOG0002970/N1.HOG0006355/N1.HOG0001386/N1.HOG0006433/N1.HOG0016949/N1.HOG0007124/N1.HOG0023788/N1.HOG0016352/N1.HOG0018776/N1.HOG0005390/N1.HOG0020533	11	acvr1ba/igf2a/scfd1/vdac2/igf2b/mta2/col1a1a/smarca4a/tnfa/hapln1a/ddx20/yap1
