ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0008150	biological_process	26/168	86/958	0.00171234205459054	0.06335665601985	0.06335665601985	N1.HOG0014605/N1.HOG0026097/N1.HOG0010439/N1.HOG0019042/N1.HOG0017973/N1.HOG0019774/N1.HOG0022955/N1.HOG0008390/N1.HOG0024374/N1.HOG0017633/N1.HOG0005306/N1.HOG0022728/N1.HOG0022526/N1.HOG0023376/N1.HOG0021972/N1.HOG0022020/N1.HOG0007435/N1.HOG0020915/N1.HOG0027360/N1.HOG0022798/N1.HOG0020946/N1.HOG0021128/N1.HOG0011624/N1.HOG0007509/N1.HOG0026010/N1.HOG0004389	26	rsph1/gtf3ab/fam177a1/plekhs1.1/plekhs1.4/chtopa/jpt2/zgc:56106/nipsnap3a/nol12/tmem254/krt18b/pane1/cmtm3/gpalpp1/sh3bgr/cldn8.1/gtf3aa/vstm2a/odf3l2a/shisa4/zgc:111986/ankrd45/cldnd1b/tmem177/plekhs1.3/gucd1/zgc:162944/plekhs1.2/zgc:194224
GO:0016567	protein ubiquitination	6/168	19/958	0.0983743493566917	0.970835993462855	0.970835993462855	N1.HOG0017827/N1.HOG0007308/N1.HOG0008071/N1.HOG0008249/N1.HOG0024118/N1.HOG0013260	6	znrf1/pcnp/asb13b/cul4b/tnfaip3/rnf182
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	3/168	10/958	0.248770101612956	0.970835993462855	0.970835993462855	N1.HOG0017632/N1.HOG0021799/N1.HOG0016016	3	tmed2/steep1/ier3ip1
GO:0006468	protein phosphorylation	3/168	11/958	0.300880671193388	0.970835993462855	0.970835993462855	N1.HOG0025448/N1.HOG0021054/N1.HOG0026604	3	cdk2/pdk1/si:ch211-220i18.4
GO:0006811	monoatomic ion transport	5/168	23/958	0.37736881878323	0.970835993462855	0.970835993462855	N1.HOG0015971/N1.HOG0004367/N1.HOG0011219/N1.HOG0018344/N1.HOG0012196	5	cnga1a/chrnb1/slc39a1/atp5po/kctd16b
GO:0006508	proteolysis	3/168	13/958	0.405578597275324	0.970835993462855	0.970835993462855	N1.HOG0011049/N1.HOG0017827/N1.HOG0018916	3	otub1a/otub1b/tnfaip3/si:ch211-122f10.4
GO:0009952	anterior/posterior pattern specification	3/168	13/958	0.405578597275324	0.970835993462855	0.970835993462855	N1.HOG0014395/N1.HOG0018481/N1.HOG0009836	3	hoxd9a/nr6a1a/nr6a1b/her13
GO:0055085	transmembrane transport	3/168	14/958	0.456404766108805	0.970835993462855	0.970835993462855	N1.HOG0015971/N1.HOG0004367/N1.HOG0025926	3	cnga1a/slc35f4/slc39a1
GO:0015031	protein transport	5/168	26/958	0.490361919499871	0.970835993462855	0.970835993462855	N1.HOG0017632/N1.HOG0027587/N1.HOG0006572/N1.HOG0014562/N1.HOG0023555	5	tmed2/napab/chmp6b/tomm5/scamp4
GO:0007399	nervous system development	3/168	15/958	0.505337516576491	0.970835993462855	0.970835993462855	N1.HOG0027844/N1.HOG0011306/N1.HOG0018902	3	smn1/bzw2/vwc2
GO:0007165	signal transduction	10/168	56/958	0.532304943243601	0.970835993462855	0.970835993462855	N1.HOG0016410/N1.HOG0021054/N1.HOG0000459/N1.HOG0009450/N1.HOG0003165/N1.HOG0009976/N1.HOG0012196/N1.HOG0005432/N1.HOG0015427/N1.HOG0010469	10	depdc1a/olfcj1/chrnb1/rho/mtnr1al/arrb2a/paqr7b/ptger2a/cdk2/kras
GO:0006351	DNA-templated transcription	2/168	10/958	0.546365402590361	0.970835993462855	0.970835993462855	N1.HOG0023252/N1.HOG0009836	2	hoxd9a/polr1d
GO:0016310	phosphorylation	3/168	17/958	0.595830649856009	0.970835993462855	0.970835993462855	N1.HOG0025448/N1.HOG0021054/N1.HOG0026604	3	cdk2/pdk1/si:ch211-220i18.4
GO:0006457	protein folding	2/168	11/958	0.600917565123022	0.970835993462855	0.970835993462855	N1.HOG0002863/N1.HOG0022747	2	dnajb4/pfdn5
GO:0045892	negative regulation of DNA-templated transcription	2/168	11/958	0.600917565123022	0.970835993462855	0.970835993462855	N1.HOG0013278/N1.HOG0013606	2	cipca/cnbpa
GO:0060271	cilium assembly	2/168	11/958	0.600917565123022	0.970835993462855	0.970835993462855	N1.HOG0020461/N1.HOG0006131	2	cfl1/tekt3
GO:0007049	cell cycle	3/168	18/958	0.636870641332363	0.970835993462855	0.970835993462855	N1.HOG0024673/N1.HOG0019369/N1.HOG0024118	3	pcnp/mapre2/terf1
GO:0000398	mRNA splicing, via spliceosome	2/168	12/958	0.650406227036231	0.970835993462855	0.970835993462855	N1.HOG0013080/N1.HOG0018902	2	smn1/nova1
GO:0005975	carbohydrate metabolic process	2/168	12/958	0.650406227036231	0.970835993462855	0.970835993462855	N1.HOG0022953/N1.HOG0019919	2	adpgk2/idua
GO:0045893	positive regulation of DNA-templated transcription	2/168	12/958	0.650406227036231	0.970835993462855	0.970835993462855	N1.HOG0013606/N1.HOG0019589	2	cnbpa/ing5b/ing5a
GO:0006886	intracellular protein transport	3/168	19/958	0.674936324915816	0.970835993462855	0.970835993462855	N1.HOG0017632/N1.HOG0006572/N1.HOG0013489	3	tmed2/napab/stx3b
GO:0006629	lipid metabolic process	2/168	14/958	0.734672937443115	0.970835993462855	0.970835993462855	N1.HOG0007575/N1.HOG0009567	2	degs1/zgc:112023
GO:0007507	heart development	2/168	14/958	0.734672937443115	0.970835993462855	0.970835993462855	N1.HOG0008700/N1.HOG0005432	2	kras/tfpi2
GO:0030154	cell differentiation	5/168	37/958	0.806910617821051	0.970835993462855	0.970835993462855	N1.HOG0027844/N1.HOG0005281/N1.HOG0020710/N1.HOG0009976/N1.HOG0021795	5	paqr7b/bzw2/elk1/cav4b/clptm1
GO:0007420	brain development	2/168	17/958	0.828473011176786	0.970835993462855	0.970835993462855	N1.HOG0003283/N1.HOG0016016	2	ier3ip1/si:dkeyp-92c9.2
GO:0006412	translation	4/168	32/958	0.841542984513523	0.970835993462855	0.970835993462855	N1.HOG0024001/N1.HOG0019645/N1.HOG0024299/N1.HOG0021741	4	mrpl14/hars/mrps18c/mrps9
GO:0006974	cellular response to DNA damage stimulus	1/168	10/958	0.856038756368579	0.970835993462855	0.970835993462855	N1.HOG0013260	1	cul4b
GO:0007155	cell adhesion	1/168	10/958	0.856038756368579	0.970835993462855	0.970835993462855	N1.HOG0010974	1	cldn2
GO:0006954	inflammatory response	1/168	11/958	0.881550875493134	0.970835993462855	0.970835993462855	N1.HOG0016410	1	ptger2a
GO:0016192	vesicle-mediated transport	2/168	20/958	0.891448527464309	0.970835993462855	0.970835993462855	N1.HOG0006572/N1.HOG0013489	2	napab/stx3b
GO:0030097	hemopoiesis	1/168	12/958	0.902564025352853	0.970835993462855	0.970835993462855	N1.HOG0005432	1	kras
GO:0051301	cell division	1/168	12/958	0.902564025352853	0.970835993462855	0.970835993462855	N1.HOG0024673	1	mapre2
GO:0006355	regulation of DNA-templated transcription	10/168	78/958	0.906962268648902	0.970835993462855	0.970835993462855	N1.HOG0014395/N1.HOG0008117/N1.HOG0003131/N1.HOG0015876/N1.HOG0020601/N1.HOG0020449/N1.HOG0021795/N1.HOG0018481/N1.HOG0012815/N1.HOG0009836	10	dharma/snai1a/hoxd9a/nr6a1a/atf1/nr6a1b/her13/hmx2/snai3/elk1/si:ch211-79k12.2
GO:0000122	negative regulation of transcription by RNA polymerase II	1/168	13/958	0.919867665670739	0.970835993462855	0.970835993462855	N1.HOG0002863	1	dnajb4
GO:0007186	G protein-coupled receptor signaling pathway	5/168	45/958	0.920381637541388	0.970835993462855	0.970835993462855	N1.HOG0016410/N1.HOG0001223/N1.HOG0000459/N1.HOG0009450/N1.HOG0010469	5	or90a1/olfcj1/rho/mtnr1al/ptger2a
GO:0007275	multicellular organism development	5/168	48/958	0.944597182828724	0.970835993462855	0.970835993462855	N1.HOG0027844/N1.HOG0020710/N1.HOG0024190/N1.HOG0009976/N1.HOG0009836	5	hoxd9a/paqr7b/bzw2/colec11/clptm1
GO:0006357	regulation of transcription by RNA polymerase II	8/168	81/958	0.984807614250152	0.984807614250152	0.984807614250152	N1.HOG0014395/N1.HOG0019858/N1.HOG0003131/N1.HOG0020449/N1.HOG0020099/N1.HOG0020160/N1.HOG0021795/N1.HOG0009836	8	hoxd9a/atf1/zic6/her13/hmx2/sox5/elk1/atmin
