ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0055085	transmembrane transport	32/571	189/6399	0.000266475681686281	0.0914011588183943	0.089760229620642	N1.HOG0007318/N1.HOG0002377/N1.HOG0022046/N1.HOG0001670/N1.HOG0016860/N1.HOG0023862/N1.HOG0004367/N1.HOG0018802/N1.HOG0004912/N1.HOG0006264/N1.HOG0010082/N1.HOG0006829/N1.HOG0002272/N1.HOG0026034/N1.HOG0004225/N1.HOG0016412/N1.HOG0016446/N1.HOG0011987/N1.HOG0004227/N1.HOG0017553/N1.HOG0001608/N1.HOG0001173/N1.HOG0021202/N1.HOG0015419/N1.HOG0018604/N1.HOG0019990/N1.HOG0022418/N1.HOG0004106/N1.HOG0018727/N1.HOG0015572/N1.HOG0024911/N1.HOG0009076	32	si:dkey-166k12.1/cnga1a/sv2bb/slc24a4b/kcnc1b/slc2a2/atp13a1/tap2a/slc39a10/slc37a4a/trpa1b/svopl/slc30a9/slc9a7/slc15a2/slc19a3a/slc29a4a/slc4a4b/si:rp71-39b20.4/slc2a11b/kcns3a/kcnc1a/abcc6a/ryr1b/slc29a4b/trpc1/abcb11b/scn4aa/clcn4/tpcn2/slc9a6a/cacna1fa/spns1/slc22a21
GO:0007018	microtubule-based movement	8/571	25/6399	0.00105140378388437	0.139639393148723	0.137132440716868	N1.HOG0013023/N1.HOG0023187/N1.HOG0019879/N1.HOG0013024/N1.HOG0011363/N1.HOG0021412/N1.HOG0017470/N1.HOG0018661	8	kif1aa/dynlt5/kif3a/kif14/kif1ab/kif13ba/dync1li2/cenpe
GO:0006325	chromatin organization	14/571	65/6399	0.00145923227794267	0.139639393148723	0.137132440716868	N1.HOG0012386/N1.HOG0022935/N1.HOG0019426/N1.HOG0004805/N1.HOG0010821/N1.HOG0023590/N1.HOG0006012/N1.HOG0020626/N1.HOG0019315/N1.HOG0022929/N1.HOG0003664/N1.HOG0003244/N1.HOG0022778/N1.HOG0017451	14	msl1a/nsd3/tdrd3/dnajc2/kdm5bb/fam50a/smarcad1a/bap1/smarcad1b/msl1b/nsd1b/phf8/chd8/chd3/setd1bb/cbx3a
GO:0000413	protein peptidyl-prolyl isomerization	5/571	11/6399	0.00162844773351281	0.139639393148723	0.137132440716868	N1.HOG0024913/N1.HOG0025199/N1.HOG0021191/N1.HOG0024713/N1.HOG0021866	5	ppwd1/ppib/ppid/ppih/ppie
GO:0007224	smoothened signaling pathway	6/571	18/6399	0.00358720266732723	0.222999546850761	0.218996025754929	N1.HOG0019549/N1.HOG0001608/N1.HOG0024012/N1.HOG0005968/N1.HOG0021886/N1.HOG0005969	6	scube3/sufu/cdon/hhat/ryr1b/scube1
GO:0048545	response to steroid hormone	5/571	13/6399	0.00390086670875967	0.222999546850761	0.218996025754929	N1.HOG0020188/N1.HOG0004795/N1.HOG0024448/N1.HOG0011987/N1.HOG0027810	5	LOC103910042/ptgs2a/sox21a/golm1/slc37a4a/asic2
GO:0051607	defense response to virus	6/571	19/6399	0.0048539053449772	0.229572247461878	0.225450726370419	N1.HOG0010212/N1.HOG0019133/N1.HOG0021483/N1.HOG0008854/N1.HOG0012172/N1.HOG0008850	6	ly86/ilf3b/bnip3la/tlr3/serinc5/prf1.5/f13a1b/prf1.6
GO:0008152	metabolic process	10/571	45/6399	0.00535445475129746	0.229572247461878	0.225450726370419	N1.HOG0002668/N1.HOG0026190/N1.HOG0022818/N1.HOG0026760/N1.HOG0002669/N1.HOG0011221/N1.HOG0010356/N1.HOG0012704/N1.HOG0021865/N1.HOG0009346	10	hyal3/ganc/rngtt/pfkma/glb1/papss1/man1a1/pfkmb/man2c1/hyal6
GO:0035556	intracellular signal transduction	19/571	123/6399	0.012210039664866	0.413585236176388	0.406160121456021	N1.HOG0016211/N1.HOG0010799/N1.HOG0025600/N1.HOG0006571/N1.HOG0020597/N1.HOG0012334/N1.HOG0008070/N1.HOG0010480/N1.HOG0022134/N1.HOG0009718/N1.HOG0018269/N1.HOG0006768/N1.HOG0026941/N1.HOG0006044/N1.HOG0021621/N1.HOG0015766/N1.HOG0012743/N1.HOG0006853/N1.HOG0018062	19	cishb/wnk4a/rock2b/racgap1/ptpn11a/asb3/mark3a/asb13a.1/gucy1a1/asb6/asb1/wnk4b/rgs11/myo9b/arhgap29a/cdc42bpb/dvl1a/prkaa2/mark3b/cish/deptor/stk17al
GO:0001822	kidney development	5/571	17/6399	0.0139009823315497	0.413585236176388	0.406160121456021	N1.HOG0022328/N1.HOG0022101/N1.HOG0026242/N1.HOG0021412/N1.HOG0021517	5	invs/psmd12/cenpf/kif14/med12
