ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:1902476	chloride transmembrane transport	7/1371	11/6394	0.0029849902421737	0.54403040415938	0.54403040415938	N1.HOG0006762/N1.HOG0002655/N1.HOG0019790/N1.HOG0002656/N1.HOG0006759/N1.HOG0002017/N1.HOG0006761	7	glra1/gabra6a/gabra4/cftr/gabra6b/slc12a4/glra2
GO:0009966	regulation of signal transduction	11/1371	23/6394	0.00437402385821132	0.54403040415938	0.54403040415938	N1.HOG0017594/N1.HOG0008403/N1.HOG0012628/N1.HOG0012629/N1.HOG0020408/N1.HOG0018093/N1.HOG0018847/N1.HOG0022002/N1.HOG0008493/N1.HOG0003761/N1.HOG0003767	11	cnksr3/LOC101884146/gpc5b/gpc3/gpc1b/veph1/spred1/ncoa5/grk1b/gpc1a/afap1l2/sla1a
GO:0035556	intracellular signal transduction	38/1371	120/6394	0.0054899080828407	0.54403040415938	0.54403040415938	N1.HOG0010798/N1.HOG0006952/N1.HOG0003913/N1.HOG0019096/N1.HOG0014336/N1.HOG0017247/N1.HOG0016211/N1.HOG0006039/N1.HOG0006963/N1.HOG0024731/N1.HOG0009385/N1.HOG0012979/N1.HOG0012334/N1.HOG0004705/N1.HOG0014900/N1.HOG0017334/N1.HOG0014899/N1.HOG0009718/N1.HOG0016717/N1.HOG0024253/N1.HOG0006768/N1.HOG0020874/N1.HOG0012224/N1.HOG0023314/N1.HOG0010702/N1.HOG0024388/N1.HOG0006097/N1.HOG0013918/N1.HOG0024182/N1.HOG0006853/N1.HOG0025634/N1.HOG0005995/N1.HOG0003911/N1.HOG0015011/N1.HOG0021008/N1.HOG0023662/N1.HOG0012240/N1.HOG0007973	38	mapk13/map4k3b/stac/pag1/ksr1a/nrg2b/jak2a/rock2b/racgap1/stk17a/asb3/pikfyve/itsn1/stk17b/nlk1/chn1/mastl/cab39l/sik1/sh3bp5a/haspin/adcy2b/myo9b/jak3/plcg2/nlk2/adcy2a/si:dkey-172j4.3/gmip/cdc42bpb/si:dkey-151g10.3/gucy2cb/plce1/adcy7/irak1/dgkaa/rgs9b/mast1b/mast1a
GO:0030903	notochord development	9/1371	18/6394	0.0068416947091689	0.54403040415938	0.54403040415938	N1.HOG0019832/N1.HOG0020151/N1.HOG0020797/N1.HOG0025322/N1.HOG0025602/N1.HOG0017539/N1.HOG0006799/N1.HOG0001393/N1.HOG0009995	9	znf219/lamc1/wnt8a/ndr2/bmp2b/sp5l/mib1/col2a1b/faslg
GO:0008152	metabolic process	18/1371	48/6394	0.00793159928744027	0.54403040415938	0.54403040415938	N1.HOG0002593/N1.HOG0022818/N1.HOG0002679/N1.HOG0024137/N1.HOG0026760/N1.HOG0022190/N1.HOG0014416/N1.HOG0022508/N1.HOG0024288/N1.HOG0008826/N1.HOG0018588/N1.HOG0025953/N1.HOG0013627/N1.HOG0023971/N1.HOG0019796/N1.HOG0021981/N1.HOG0019919/N1.HOG0022667	18	man2b2/hyal3/myorg/atic/fuca2/large1/pfkfb3/man1b1b/gba2/dna2/engase/idua/pfkla/pam/gusb/zgc:136858/hyal6/si:ch211-236l14.4
GO:0006468	protein phosphorylation	61/1371	214/6394	0.00798088612458748	0.54403040415938	0.54403040415938	N1.HOG0014018/N1.HOG0006267/N1.HOG0010798/N1.HOG0017715/N1.HOG0014206/N1.HOG0003913/N1.HOG0014336/N1.HOG0023646/N1.HOG0022293/N1.HOG0026370/N1.HOG0018937/N1.HOG0006039/N1.HOG0024030/N1.HOG0022337/N1.HOG0021957/N1.HOG0022716/N1.HOG0004705/N1.HOG0014900/N1.HOG0018356/N1.HOG0014899/N1.HOG0012343/N1.HOG0009718/N1.HOG0022372/N1.HOG0016717/N1.HOG0004275/N1.HOG0023980/N1.HOG0024133/N1.HOG0024253/N1.HOG0004730/N1.HOG0021692/N1.HOG0010521/N1.HOG0006768/N1.HOG0026726/N1.HOG0006738/N1.HOG0002061/N1.HOG0020874/N1.HOG0020199/N1.HOG0002628/N1.HOG0003990/N1.HOG0023314/N1.HOG0008493/N1.HOG0026604/N1.HOG0024864/N1.HOG0010702/N1.HOG0002631/N1.HOG0022451/N1.HOG0020831/N1.HOG0020450/N1.HOG0026994/N1.HOG0018753/N1.HOG0025634/N1.HOG0005184/N1.HOG0021316/N1.HOG0003911/N1.HOG0015011/N1.HOG0013325/N1.HOG0023018/N1.HOG0021008/N1.HOG0012018/N1.HOG0021196/N1.HOG0007973	61	mapk13/aatka/map4k3b/csnk1e/map2k5/mink1/cdk19/cdk12/cdk18/ksr1a/stk26/ulk2/si:ch73-40a2.1/nek8/plk1/jak2a/csnk2a1/ntrk1/ephb4a/ttk/rock2b/tnika/stk17a/wee2/musk/strada/stk17b/camk1gb/stk10/vrk2/nlk1/eef2k/mastl/mylk4b/pink1/stk16/grk1b/sik1/phkg1b/taok1b/map3k5/tnikb/scyl2/dyrk2/haspin/ror2/jak3/map3k21/lmtk3/nlk2/ltk/phkg1a/cdc42bpb/matk/si:dkey-151g10.3/gucy2cb/irak1/ephb6/cdk5/mast1b/mast1a/si:ch211-220i18.4/cdk17
GO:0050877	nervous system process	8/1371	16/6394	0.0107241251677302	0.548270899200205	0.548270899200205	N1.HOG0004547/N1.HOG0006762/N1.HOG0002655/N1.HOG0007223/N1.HOG0002656/N1.HOG0006759/N1.HOG0006761/N1.HOG0013803	8	glra1/gabra6a/chrne/gabra4/chrna6/gabra6b/chrna9a/glra2
GO:0090263	positive regulation of canonical Wnt signaling pathway	8/1371	16/6394	0.0107241251677302	0.548270899200205	0.548270899200205	N1.HOG0021967/N1.HOG0020334/N1.HOG0006799/N1.HOG0003761/N1.HOG0003767/N1.HOG0017496/N1.HOG0005184/N1.HOG0006288	8	csnk1e/gpc5b/ugdh/wnt8a/ppm1ba/ubr5/gpc3/lgr4
GO:0090090	negative regulation of canonical Wnt signaling pathway	9/1371	20/6394	0.0156165650214833	0.709686121531852	0.709686121531852	N1.HOG0020626/N1.HOG0019175/N1.HOG0006799/N1.HOG0024236/N1.HOG0015198/N1.HOG0018000/N1.HOG0018127/N1.HOG0003761/N1.HOG0021243	9	kremen1/wnt8a/apc/gpc3/dab2/znrf3/apc2/chd8/notum1a
GO:0016310	phosphorylation	66/1371	245/6394	0.0217654245704579	0.890205864931727	0.890205864931727	N1.HOG0014018/N1.HOG0006267/N1.HOG0002593/N1.HOG0010798/N1.HOG0017715/N1.HOG0014206/N1.HOG0003913/N1.HOG0014336/N1.HOG0002679/N1.HOG0022293/N1.HOG0025748/N1.HOG0009880/N1.HOG0013710/N1.HOG0024030/N1.HOG0022337/N1.HOG0021957/N1.HOG0022680/N1.HOG0011444/N1.HOG0010509/N1.HOG0024487/N1.HOG0022810/N1.HOG0004705/N1.HOG0014900/N1.HOG0018356/N1.HOG0008359/N1.HOG0013317/N1.HOG0018642/N1.HOG0014899/N1.HOG0012343/N1.HOG0009718/N1.HOG0022372/N1.HOG0023980/N1.HOG0024253/N1.HOG0004730/N1.HOG0021692/N1.HOG0006768/N1.HOG0026726/N1.HOG0023971/N1.HOG0023746/N1.HOG0006738/N1.HOG0024106/N1.HOG0002628/N1.HOG0003990/N1.HOG0023314/N1.HOG0008493/N1.HOG0026604/N1.HOG0024864/N1.HOG0022451/N1.HOG0022712/N1.HOG0020831/N1.HOG0020450/N1.HOG0013918/N1.HOG0026994/N1.HOG0018753/N1.HOG0025634/N1.HOG0005184/N1.HOG0026497/N1.HOG0021316/N1.HOG0005995/N1.HOG0003911/N1.HOG0013325/N1.HOG0023018/N1.HOG0023662/N1.HOG0012018/N1.HOG0021196/N1.HOG0007973	66	mapk13/pmvk/map4k3b/csnk1e/map2k5/cdk19/cdk18/si:ch73-40a2.1/nek8/plk1/nme7/jak2a/csnk2a1/ntrk1/ephb4a/ttk/rock2b/sephs1/tnika/uck2b/stk17a/wee2/agk/musk/strada/pikfyve/stk17b/camk1gb/stk10/vrk2/pik3cd/pik3r2/nlk1/riok1/akap8l/prkab1a/coq8aa/eef2k/mastl/mylk4b/pink1/grk1b/phkg1b/pfkfb3/map3k5/czib/pi4kaa/tnikb/prkra/dyrk2/jak3/map3k21/nlk2/chkb/si:rp71-17i16.5/ltk/si:dkey-172j4.3/phkg1a/cdc42bpb/matk/pfkla/ephb6/cdk5/zgc:136858/dgkaa/mast1b/mast1a/si:ch211-220i18.4/cdk17
