ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0055085	transmembrane transport	40/703	190/6424	2.83890149194574e-05	0.0107878256693938	0.0103395780654024	N1.HOG0004056/N1.HOG0007118/N1.HOG0018887/N1.HOG0013066/N1.HOG0010164/N1.HOG0018802/N1.HOG0004912/N1.HOG0005256/N1.HOG0024579/N1.HOG0022239/N1.HOG0006829/N1.HOG0010149/N1.HOG0005622/N1.HOG0001678/N1.HOG0004225/N1.HOG0021891/N1.HOG0004227/N1.HOG0017553/N1.HOG0007063/N1.HOG0010039/N1.HOG0021738/N1.HOG0011988/N1.HOG0001608/N1.HOG0025201/N1.HOG0014535/N1.HOG0002022/N1.HOG0001173/N1.HOG0005549/N1.HOG0021846/N1.HOG0022418/N1.HOG0010017/N1.HOG0014314/N1.HOG0011428/N1.HOG0004616/N1.HOG0023926/N1.HOG0003474/N1.HOG0018247/N1.HOG0011429/N1.HOG0008163/N1.HOG0012033	40	slc25a22b/slc13a4/slc25a4/slc30a7/slc43a1a/atp13a1/slc37a4b/slc25a25a/slc35f6/trpa1b/slc9a8/slc18b1/abcc8/slc18a2/slc9a7/slc22a15/slc15a2/slc26a2/slc19a3a/slc8a3/slc5a5/abca7/slc30a2/slc5a9/abcg4a/slc2a11l/slc2a9l1/trpm3/abcc6a/slc7a10a/abcc12/ryr1b/sv2/slc25a22a/scn4aa/zgc:114041/slc17a5/slc26a1/slc45a1/slc9a6a/slc12a5b
GO:0006812	monoatomic cation transport	8/703	15/6424	6.30510380922417e-05	0.0119796972375259	0.0114819258841661	N1.HOG0007118/N1.HOG0021852/N1.HOG0005622/N1.HOG0004225/N1.HOG0004227/N1.HOG0021738/N1.HOG0025201/N1.HOG0022418	8	slc30a7/atp13a1/slc9a8/slc9a7/panx2/slc30a2/trpm3/slc9a6a
GO:0006811	monoatomic ion transport	35/703	193/6424	0.00166711756174369	0.193136690305888	0.185111620071571	N1.HOG0002310/N1.HOG0004056/N1.HOG0013399/N1.HOG0022982/N1.HOG0007118/N1.HOG0002069/N1.HOG0025267/N1.HOG0021852/N1.HOG0005622/N1.HOG0001678/N1.HOG0004225/N1.HOG0012111/N1.HOG0002070/N1.HOG0002656/N1.HOG0011058/N1.HOG0016365/N1.HOG0004227/N1.HOG0017553/N1.HOG0018344/N1.HOG0021738/N1.HOG0006307/N1.HOG0001608/N1.HOG0025201/N1.HOG0014535/N1.HOG0002022/N1.HOG0001173/N1.HOG0024855/N1.HOG0011428/N1.HOG0014770/N1.HOG0011057/N1.HOG0026480/N1.HOG0011429/N1.HOG0006761/N1.HOG0018349/N1.HOG0010297	35	tmem63c/tcirg1a/slc13a4/kcnj9/slc25a28/atp1a1a.5/glra1/atp6v0a1a/slc30a7/atp5po/atp6v1ba/pacc1/trpa1b/slc9a8/atp2a1l/cacna2d2a/slc9a7/slc26a2/panx2/lrrc8ab/gabra6b/slc8a3/slc30a2/kcnj2b/slc5a9/trpm3/atp2a3/cacna2d2b/kcnk5a/ryr1b/letm1/scn4aa/atp1a1a.2/atp1a1a.3/atp1a1a.4/slc26a1/slc9a6a/slc12a5b
GO:0006406	mRNA export from nucleus	6/703	14/6424	0.00232975662811838	0.193136690305888	0.185111620071571	N1.HOG0019773/N1.HOG0018755/N1.HOG0012686/N1.HOG0022348/N1.HOG0022374/N1.HOG0005943	6	nup88/thoc1/rae1/mcm3ap/thoc3/tprb
GO:0006457	protein folding	15/703	63/6424	0.0026680244752249	0.193136690305888	0.185111620071571	N1.HOG0023712/N1.HOG0023721/N1.HOG0025338/N1.HOG0012308/N1.HOG0022119/N1.HOG0024962/N1.HOG0017239/N1.HOG0027407/N1.HOG0021637/N1.HOG0025306/N1.HOG0020047/N1.HOG0023079/N1.HOG0022225/N1.HOG0019444/N1.HOG0021548	15	cct6a/cct7/cct2/tcp1/nktr/pfdn2/hspa4b/hsp90b1/ttc4/cct8/cwc27/fkbp9/clgn/trap1/hspe1
GO:0008360	regulation of cell shape	6/703	15/6424	0.00352770854040392	0.193136690305888	0.185111620071571	N1.HOG0006982/N1.HOG0006373/N1.HOG0011901/N1.HOG0006983/N1.HOG0002628/N1.HOG0002168	6	tnika/fn1b/ezra/fermt2/tnikb/phip/brwd1
GO:0006814	sodium ion transport	8/703	25/6424	0.00391374069124832	0.193136690305888	0.185111620071571	N1.HOG0004056/N1.HOG0022239/N1.HOG0001678/N1.HOG0004225/N1.HOG0004227/N1.HOG0025201/N1.HOG0014535/N1.HOG0001173	8	slc13a4/slc9a8/slc9a7/slc8a3/slc5a5/slc5a9/scn4aa/slc9a6a
GO:0006906	vesicle fusion	5/703	11/6424	0.00406603558538711	0.193136690305888	0.185111620071571	N1.HOG0023711/N1.HOG0004687/N1.HOG0023386/N1.HOG0017677/N1.HOG0020413	5	gosr2/vamp8/vamp1a/si:ch73-234b20.5/stx16
GO:0007519	skeletal muscle tissue development	7/703	21/6424	0.00535234744894203	0.225988003399775	0.216597920156017	N1.HOG0005601/N1.HOG0017838/N1.HOG0021429/N1.HOG0011815/N1.HOG0002026/N1.HOG0011816/N1.HOG0010504	7	synpo2lb/plecb/unc45b/kif5bb/synpo2la/hspg2/golga2/kif5aa
GO:0098609	cell-cell adhesion	10/703	39/6424	0.00767810772159243	0.291768093420512	0.279644765439051	N1.HOG0017877/N1.HOG0013931/N1.HOG0014444/N1.HOG0008395/N1.HOG0020751/N1.HOG0023015/N1.HOG0013188/N1.HOG0020517/N1.HOG0009814/N1.HOG0014839	10	igdcc4/pkp3b/srpx2/LOC100333484/itga2.2/cdh2/ctnna1/ctnnd1/palld/cdh15/cntn4
