ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0055085	transmembrane transport	46/857	201/6433	0.000117283064532132	0.0469132258128529	0.0451848438092215	N1.HOG0002378/N1.HOG0021899/N1.HOG0016859/N1.HOG0004366/N1.HOG0020343/N1.HOG0002377/N1.HOG0017958/N1.HOG0023862/N1.HOG0014500/N1.HOG0008745/N1.HOG0005256/N1.HOG0024579/N1.HOG0010082/N1.HOG0020737/N1.HOG0021745/N1.HOG0010149/N1.HOG0020728/N1.HOG0024663/N1.HOG0026034/N1.HOG0004225/N1.HOG0017718/N1.HOG0011334/N1.HOG0013435/N1.HOG0013251/N1.HOG0017553/N1.HOG0005777/N1.HOG0024572/N1.HOG0001608/N1.HOG0002148/N1.HOG0025201/N1.HOG0002022/N1.HOG0019827/N1.HOG0001173/N1.HOG0012500/N1.HOG0001691/N1.HOG0005549/N1.HOG0006494/N1.HOG0003491/N1.HOG0018604/N1.HOG0005550/N1.HOG0023046/N1.HOG0012177/N1.HOG0023926/N1.HOG0011906/N1.HOG0009076/N1.HOG0009578	46	slc22a7b.3/mfsd4b/kcnh4a/slc47a3/trpc4b/slc25a16/slc25a4/tap2a/slc2a8/slc25a14/slc15a4/slc35b2/cacna1sb/disp2/aqp3a/slc35f6/trpa1b/svopl/slc9a8/slc30a9/abcb8/slc24a4a/clcn7/slc9a7/kcnf1a/slc8a4b/cacna1fb/sv2ca/kcng2/slc12a10.3/slc12a10.2/slc25a6/slc16a4/oca2/tpcn1/abcc12/ryr1b/abcb11b/cnga1b/scn4aa/abcd4/slc17a5/tpcn2/slc45a1/cacna1fa/kcna6a/slc12a5b
GO:0006511	ubiquitin-dependent protein catabolic process	23/857	84/6433	0.000442722416208749	0.0823580278000539	0.0793237846705783	N1.HOG0021665/N1.HOG0026030/N1.HOG0009877/N1.HOG0009077/N1.HOG0022364/N1.HOG0023499/N1.HOG0023985/N1.HOG0013112/N1.HOG0020648/N1.HOG0024140/N1.HOG0017811/N1.HOG0019876/N1.HOG0023348/N1.HOG0009874/N1.HOG0020602/N1.HOG0022913/N1.HOG0009683/N1.HOG0007136/N1.HOG0006412/N1.HOG0019818/N1.HOG0013260/N1.HOG0024183/N1.HOG0019319	23	usp47/cacul1/ube4b/cul5a/cops3/usp14/rnf144b/usp40/rnf8/uba1/usp33/usp5/ndfip1l/usp4/cylda/ube3b/ube4a/cul4b/rnf19b/usp21/trip12/usp8/rnf217
GO:0000209	protein polyubiquitination	13/857	37/6433	0.000617685208500405	0.0823580278000539	0.0793237846705783	N1.HOG0021665/N1.HOG0009077/N1.HOG0024174/N1.HOG0023499/N1.HOG0023694/N1.HOG0020912/N1.HOG0020648/N1.HOG0017811/N1.HOG0025988/N1.HOG0023348/N1.HOG0023603/N1.HOG0020908/N1.HOG0019319	13	ube4b/wsb1/ppil2/rnf144b/ubox5/ube3d/fbxo28/ube3b/ube4a/shprh/rnf19b/trip12/rnf217
GO:0032007	negative regulation of TOR signaling	6/857	11/6433	0.00139730750699796	0.139730750699796	0.134582775674014	N1.HOG0025600/N1.HOG0022872/N1.HOG0019495/N1.HOG0010431/N1.HOG0024630/N1.HOG0001953	6	prkaa1/tsc1a/ddit4/tnfaip8l1/grk5l/prkaa2
GO:0070588	calcium ion transmembrane transport	9/857	24/6433	0.00254719014965758	0.196823270340644	0.189571886696515	N1.HOG0002378/N1.HOG0016859/N1.HOG0002377/N1.HOG0002070/N1.HOG0011058/N1.HOG0013251/N1.HOG0001608/N1.HOG0006494/N1.HOG0018604	9	trpc4b/cacna1sb/slc24a4a/cacna1fb/atp2a3/cacna2d2b/ryr1b/tpcn2/cacna1fa
GO:0042254	ribosome biogenesis	13/857	43/6433	0.00295234905510967	0.196823270340644	0.189571886696515	N1.HOG0024250/N1.HOG0024524/N1.HOG0021761/N1.HOG0025645/N1.HOG0023657/N1.HOG0021942/N1.HOG0021646/N1.HOG0022383/N1.HOG0020025/N1.HOG0020808/N1.HOG0022107/N1.HOG0022072/N1.HOG0021827	13	mtg2/sdad1/utp25/dlx2b/dlx2a/nop2/tsr1/gtpbp4/polr1c/ddx51/nop58/mrto4/nom1/bop1
GO:0030239	myofibril assembly	5/857	10/6433	0.00585553353982204	0.292776676991102	0.281990167838798	N1.HOG0023541/N1.HOG0014145/N1.HOG0005895/N1.HOG0010504/N1.HOG0024079	5	lmod3/unc45b/hsp90aa1.1/flii/smyd1b
GO:0032508	DNA duplex unwinding	5/857	10/6433	0.00585553353982204	0.292776676991102	0.281990167838798	N1.HOG0016793/N1.HOG0024815/N1.HOG0021523/N1.HOG0021078/N1.HOG0020518	5	mcm5/mcm4/ddx11/mcm6l/supv3l1
GO:0034765	regulation of monoatomic ion transmembrane transport	10/857	32/6433	0.00677903315537926	0.3012903624613	0.290190191212726	N1.HOG0002378/N1.HOG0002377/N1.HOG0014500/N1.HOG0011334/N1.HOG0011058/N1.HOG0013251/N1.HOG0002148/N1.HOG0001173/N1.HOG0012500/N1.HOG0018604	10	kcnh4a/cacna1sb/kcnf1a/cacna1fb/kcng2/cacna2d2b/scn4aa/tpcn2/cacna1fa/kcna6a
GO:0031122	cytoplasmic microtubule organization	6/857	15/6433	0.00943427734069074	0.348026250927592	0.335204231156575	N1.HOG0024552/N1.HOG0022302/N1.HOG0022428/N1.HOG0019399/N1.HOG0024746/N1.HOG0025178	6	tbcb/tubgcp2/katna1/slain2/tubgcp3/hook1
