ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0006811	monoatomic ion transport	30/343	145/4993	2.67965775551856e-08	6.64555123368602e-06	6.26193707079073e-06	N1.HOG0004547/N1.HOG0004366/N1.HOG0020188/N1.HOG0008297/N1.HOG0018666/N1.HOG0015418/N1.HOG0004367/N1.HOG0002069/N1.HOG0002844/N1.HOG0020068/N1.HOG0004225/N1.HOG0012111/N1.HOG0002070/N1.HOG0016446/N1.HOG0011334/N1.HOG0011058/N1.HOG0013251/N1.HOG0017720/N1.HOG0017553/N1.HOG0021738/N1.HOG0025201/N1.HOG0002022/N1.HOG0012500/N1.HOG0004106/N1.HOG0026327/N1.HOG0002277/N1.HOG0011057/N1.HOG0026480/N1.HOG0020926/N1.HOG0013803	30	cnga1a/kcnh4a/kcnj9/slc30a7/cacna1sb/asic4b/asic4a/asic2/chrne/trpa1b/slc9a8/atp2a1l/cacna2d2a/slc9a7/hcn2b/kcns3b/slc4a4b/kcng2/si:rp71-39b20.4/kcnj2b/kcnc3b/slc9a3.1/slc9a3.2/atp2a3/cacna2d2b/chrna9a/kcnj5/cnga1b/saraf/slc12a9/slc9a1b/slc12a5b
GO:0034765	regulation of monoatomic ion transmembrane transport	10/343	22/4993	6.31618907337816e-07	5.22138296732595e-05	4.91997885715773e-05	N1.HOG0015418/N1.HOG0020068/N1.HOG0012111/N1.HOG0016446/N1.HOG0011334/N1.HOG0011058/N1.HOG0013251/N1.HOG0012500/N1.HOG0002277/N1.HOG0026480	10	kcnh4a/kcnj9/cacna1sb/kcns3b/kcng2/si:rp71-39b20.4/kcnj2b/kcnc3b/cacna2d2b/kcnj5
GO:0071805	potassium ion transmembrane transport	10/343	22/4993	6.31618907337816e-07	5.22138296732595e-05	4.91997885715773e-05	N1.HOG0008297/N1.HOG0015418/N1.HOG0002844/N1.HOG0004225/N1.HOG0016446/N1.HOG0011334/N1.HOG0025201/N1.HOG0012500/N1.HOG0002277/N1.HOG0020926	10	kcnh4a/slc9a8/slc9a7/hcn2b/kcns3b/kcng2/si:rp71-39b20.4/kcnc3b/slc9a3.1/slc9a3.2/slc9a1b
GO:0006813	potassium ion transport	10/343	27/4993	6.03410892140945e-06	0.000374114753127386	0.000352518994882342	N1.HOG0015418/N1.HOG0002844/N1.HOG0020068/N1.HOG0012111/N1.HOG0016446/N1.HOG0011334/N1.HOG0002022/N1.HOG0012500/N1.HOG0002277/N1.HOG0026480	10	kcnh4a/kcnj9/hcn2b/kcns3b/kcng2/si:rp71-39b20.4/kcnj2b/kcnc3b/kcnj5/slc12a5b
GO:0055085	transmembrane transport	26/343	153/4993	1.16826103015079e-05	0.000579457470954794	0.000546008313038897	N1.HOG0004366/N1.HOG0008297/N1.HOG0015418/N1.HOG0004367/N1.HOG0021716/N1.HOG0002844/N1.HOG0010082/N1.HOG0004225/N1.HOG0016446/N1.HOG0011334/N1.HOG0013251/N1.HOG0017720/N1.HOG0020324/N1.HOG0017553/N1.HOG0012908/N1.HOG0010039/N1.HOG0021738/N1.HOG0024272/N1.HOG0025201/N1.HOG0002022/N1.HOG0012500/N1.HOG0005549/N1.HOG0004106/N1.HOG0005871/N1.HOG0002277/N1.HOG0020926	26	cnga1a/slc25a22b/abca2/kcnh4a/slc25a4/slc30a7/cacna1sb/slc25a55a/trpa1b/slc9a8/slc9a7/abcc10/hcn2b/kcns3b/slc26a6l/slc4a4b/kcng2/si:rp71-39b20.4/mfsd8/kcnc3b/slc9a3.1/slc9a3.2/slc25a22a/abcb11b/cnga1b/slc12a9/slc9a1b/slc12a5b
GO:0006814	sodium ion transport	7/343	22/4993	0.000469896649047191	0.0194223948272839	0.018301237910259	N1.HOG0020188/N1.HOG0008297/N1.HOG0018666/N1.HOG0002844/N1.HOG0004225/N1.HOG0025201/N1.HOG0020926	7	asic4b/asic4a/asic2/slc9a8/slc9a7/hcn2b/slc9a3.1/slc9a3.2/slc9a1b
GO:0048545	response to steroid hormone	5/343	12/4993	0.000786492679586747	0.0278643120767876	0.0262558458448508	N1.HOG0025122/N1.HOG0020188/N1.HOG0018666/N1.HOG0004795/N1.HOG0024448	5	ptgs2a/golm1/asic4b/asic4a/asic2/cyp11a1.2/cyp11a1.1
GO:0006812	monoatomic cation transport	5/343	15/4993	0.00251074581195715	0.0778331201706715	0.0733402066124324	N1.HOG0008297/N1.HOG0004225/N1.HOG0021738/N1.HOG0025201/N1.HOG0020926	5	slc30a7/slc9a8/slc9a7/slc9a3.1/slc9a3.2/slc9a1b
GO:0003146	heart jogging	4/343	10/4993	0.00329651672443142	0.084090622656022	0.0792364950324146	N1.HOG0008848/N1.HOG0018000/N1.HOG0011902/N1.HOG0026951	4	fn1a/apc/ccdc103/nphp3
GO:0000278	mitotic cell cycle	7/343	30/4993	0.00347919539531229	0.084090622656022	0.0792364950324146	N1.HOG0008375/N1.HOG0024935/N1.HOG0019399/N1.HOG0024815/N1.HOG0022174/N1.HOG0023145/N1.HOG0025178	7	mcm5/ptpn6/tubgcp2/ska2/pole/tubgcp3/map9
