ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0000398	mRNA splicing, via spliceosome	5/180	12/958	0.0563889713654971	0.981614707400384	0.981614707400384	N1.HOG0024344/N1.HOG0021726/N1.HOG0024511/N1.HOG0026032/N1.HOG0024959	5	prpf31/lsm4/snrpg/snrpa1/snrnp25
GO:0015031	protein transport	8/180	26/958	0.096094666161611	0.981614707400384	0.981614707400384	N1.HOG0011468/N1.HOG0007287/N1.HOG0025741/N1.HOG0003187/N1.HOG0012547/N1.HOG0017449/N1.HOG0022559/N1.HOG0019258	8	nup35/ap4s1/rab13/ubap1/ykt6/timm8a/ap3s1/sar1b
GO:0006351	DNA-templated transcription	4/180	10/958	0.0994264502605438	0.981614707400384	0.981614707400384	N1.HOG0027396/N1.HOG0024593/N1.HOG0024191/N1.HOG0022754	4	polr3k/polr2j/lin52/polr2k
GO:0006457	protein folding	4/180	11/958	0.134164564484801	0.981614707400384	0.981614707400384	N1.HOG0023865/N1.HOG0023716/N1.HOG0003047/N1.HOG0020047	4	ttc4/uxt/pdrg1/ppifb
GO:0016192	vesicle-mediated transport	6/180	20/958	0.155805024014561	0.981614707400384	0.981614707400384	N1.HOG0007287/N1.HOG0025741/N1.HOG0012547/N1.HOG0004687/N1.HOG0017449/N1.HOG0004538	6	ap4s1/ykt6/vamp1a/ap3s1/sar1b/stx1b
GO:0006886	intracellular protein transport	5/180	19/958	0.276771127364408	0.981614707400384	0.981614707400384	N1.HOG0020909/N1.HOG0007287/N1.HOG0025741/N1.HOG0012547/N1.HOG0004538	5	appbp2/ap4s1/ap3s1/sar1b/stx1b
GO:0005975	carbohydrate metabolic process	3/180	12/958	0.398616228094786	0.981614707400384	0.981614707400384	N1.HOG0021748/N1.HOG0024640/N1.HOG0016769	3	mdh2/ctbs/LOC559107/lct
GO:0045893	positive regulation of DNA-templated transcription	3/180	12/958	0.398616228094786	0.981614707400384	0.981614707400384	N1.HOG0003674/N1.HOG0027614/N1.HOG0026443	3	sox32/rxrga/rxrgb/si:ch1073-303d10.1
GO:0051301	cell division	3/180	12/958	0.398616228094786	0.981614707400384	0.981614707400384	N1.HOG0023613/N1.HOG0023660/N1.HOG0019389	3	cdca9/spc24/sgo2
GO:0007049	cell cycle	4/180	18/958	0.446608404645369	0.981614707400384	0.981614707400384	N1.HOG0000502/N1.HOG0023613/N1.HOG0023660/N1.HOG0019389	4	cdca9/h2ax/spc24/sgo2
GO:0009952	anterior/posterior pattern specification	3/180	13/958	0.453624245143953	0.981614707400384	0.981614707400384	N1.HOG0007264/N1.HOG0025442/N1.HOG0018035	3	her1/hoxc6a/cdx1a
GO:0006357	regulation of transcription by RNA polymerase II	16/180	81/958	0.456562382345276	0.981614707400384	0.981614707400384	N1.HOG0002541/N1.HOG0007707/N1.HOG0002781/N1.HOG0007562/N1.HOG0007264/N1.HOG0019364/N1.HOG0025442/N1.HOG0013055/N1.HOG0018035/N1.HOG0012793/N1.HOG0024450/N1.HOG0023290/N1.HOG0019394/N1.HOG0013454/N1.HOG0019122/N1.HOG0022227	16	tcf23/rfxank/tbx15/zic1/her1/hoxc6a/evx2/foxd5/cdx1a/yeats4/nfybb/mnta/hoxb13a/irf1a/ovol1a/hdgfl2
GO:0007186	G protein-coupled receptor signaling pathway	9/180	45/958	0.478091658305469	0.981614707400384	0.981614707400384	N1.HOG0014953/N1.HOG0015504/N1.HOG0022466/N1.HOG0007698/N1.HOG0003267/N1.HOG0007346/N1.HOG0012184/N1.HOG0008253/N1.HOG0006055	9	ccr9b/f2rl1.2/cartl/npy8br/adra1bb/cart2/or30by3/or30by1/gpr45/gpr3/or30bx1
GO:0006629	lipid metabolic process	3/180	14/958	0.506457342038506	0.981614707400384	0.981614707400384	N1.HOG0011611/N1.HOG0023667/N1.HOG0019901	3	insig1/acad8/cnep1r1
GO:0007507	heart development	3/180	14/958	0.506457342038506	0.981614707400384	0.981614707400384	N1.HOG0024411/N1.HOG0023815/N1.HOG0019214	3	cyp26a1/tafazzin/cacybp
GO:0055085	transmembrane transport	3/180	14/958	0.506457342038506	0.981614707400384	0.981614707400384	N1.HOG0014500/N1.HOG0006292/N1.HOG0005550	3	kcnf1a/aqp8a.2/slc25a6
GO:0006355	regulation of DNA-templated transcription	15/180	78/958	0.508137587107128	0.981614707400384	0.981614707400384	N1.HOG0007707/N1.HOG0002781/N1.HOG0007264/N1.HOG0003674/N1.HOG0004065/N1.HOG0025442/N1.HOG0018035/N1.HOG0012793/N1.HOG0024450/N1.HOG0010062/N1.HOG0023290/N1.HOG0016865/N1.HOG0026443/N1.HOG0019122/N1.HOG0022227	15	neurod6b/sox32/tbx15/her1/hoxc6a/rxrga/evx2/foxd5/cdx1a/rxrgb/yeats4/nfybb/znf280d/hoxb13a/dpf3/irf1a
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	2/180	10/958	0.587690128399362	0.981614707400384	0.981614707400384	N1.HOG0007287/N1.HOG0017449	2	ykt6/sar1b
GO:0007155	cell adhesion	2/180	10/958	0.587690128399362	0.981614707400384	0.981614707400384	N1.HOG0009502/N1.HOG0000784	2	cldnd/cldnj
GO:0060271	cilium assembly	2/180	11/958	0.642237876636509	0.981614707400384	0.981614707400384	N1.HOG0025801/N1.HOG0020047	2	ttc4/ift46
