ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0016310	phosphorylation	17/200	242/6399	0.00140933503416032	0.30864437248111	0.298185623017078	N1.HOG0009330/N1.HOG0026078/N1.HOG0003913/N1.HOG0002679/N1.HOG0009880/N1.HOG0017235/N1.HOG0011444/N1.HOG0019101/N1.HOG0012373/N1.HOG0009991/N1.HOG0020847/N1.HOG0024557/N1.HOG0020722/N1.HOG0024106/N1.HOG0010522/N1.HOG0023662/N1.HOG0024717	17	dgke/met/prkd2/pikfyve/mob1ba/pik3cd/mob1bb/kdr/aatkb/nek1/dyrk1b/pi4kaa/chkb/epha2b/pfkla/spega/baz1b/mast1b
GO:0071526	semaphorin-plexin signaling pathway	3/200	11/6399	0.00412213195172162	0.373548947235561	0.360890835829597	N1.HOG0017235/N1.HOG0001696/N1.HOG0019839	3	met/plxnd1/plxna3
GO:0009653	anatomical structure morphogenesis	4/200	24/6399	0.00602144221025339	0.373548947235561	0.360890835829597	N1.HOG0006101/N1.HOG0015027/N1.HOG0008262/N1.HOG0013084	4	foxa1/foxi3a/frem3/foxe3
GO:0032465	regulation of cytokinesis	3/200	13/6399	0.00682281182165407	0.373548947235561	0.360890835829597	N1.HOG0017787/N1.HOG0009715/N1.HOG0017836	3	klhl13/rab11fip3/birc6
GO:0008360	regulation of cell shape	3/200	16/6399	0.0124693243035512	0.46297869899411	0.447290163411758	N1.HOG0001696/N1.HOG0006983/N1.HOG0011902	3	fn1a/plxna3/phip
GO:0001946	lymphangiogenesis	3/200	17/6399	0.0147984059039213	0.46297869899411	0.447290163411758	N1.HOG0022868/N1.HOG0021511/N1.HOG0020776	3	pkd1a/pkd1b/notch2
GO:0043087	regulation of GTPase activity	3/200	17/6399	0.0147984059039213	0.46297869899411	0.447290163411758	N1.HOG0001696/N1.HOG0020516/N1.HOG0016878	3	nf1a/sbf2/nf1b/plxna3
GO:0030198	extracellular matrix organization	4/200	35/6399	0.0227366684160968	0.505233188701851	0.488112813886432	N1.HOG0006417/N1.HOG0002518/N1.HOG0007340/N1.HOG0017347	4	postnb/col10a1a/hmcn2/mmp24
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	3/200	21/6399	0.026419490750427	0.505233188701851	0.488112813886432	N1.HOG0011664/N1.HOG0004379/N1.HOG0018771	3	celsr1a/fat2/crb2a
GO:0098609	cell-cell adhesion	4/200	38/6399	0.0298259912566419	0.505233188701851	0.488112813886432	N1.HOG0011664/N1.HOG0004379/N1.HOG0013896/N1.HOG0011902	4	fn1a/celsr1a/igsf9ba/crb2a
GO:0055085	transmembrane transport	11/200	189/6399	0.0341385872055012	0.505233188701851	0.488112813886432	N1.HOG0003477/N1.HOG0010164/N1.HOG0022239/N1.HOG0013252/N1.HOG0012739/N1.HOG0022938/N1.HOG0008166/N1.HOG0021897/N1.HOG0011428/N1.HOG0003474/N1.HOG0012713	11	abcb10/abcg8/abca1b/slc2a15a/slc22a2/abcc8/slc26a2/slc5a5/abca7/cacna1sa/slc16a13
GO:0001569	branching involved in blood vessel morphogenesis	2/200	10/6399	0.0370807258861215	0.505233188701851	0.488112813886432	N1.HOG0019839/N1.HOG0024153	2	plxnd1/plekhh1
GO:0007155	cell adhesion	7/200	104/6399	0.04360894577255	0.505233188701851	0.488112813886432	N1.HOG0025817/N1.HOG0007340/N1.HOG0000784/N1.HOG0004379/N1.HOG0011902/N1.HOG0018771/N1.HOG0025391	7	fn1a/postnb/celsr1a/tnr/stab2/fat2/cldnd
GO:0021591	ventricular system development	2/200	11/6399	0.0444048578715437	0.505233188701851	0.488112813886432	N1.HOG0011664/N1.HOG0011902	2	fn1a/crb2a
GO:0032456	endocytic recycling	2/200	11/6399	0.0444048578715437	0.505233188701851	0.488112813886432	N1.HOG0026483/N1.HOG0017836	2	snx7/rab11fip3
GO:0042632	cholesterol homeostasis	2/200	11/6399	0.0444048578715437	0.505233188701851	0.488112813886432	N1.HOG0022285/N1.HOG0021897	2	abcg8/lamtor1
GO:0043408	regulation of MAPK cascade	2/200	11/6399	0.0444048578715437	0.505233188701851	0.488112813886432	N1.HOG0020847/N1.HOG0002631	2	mink1/kdr
GO:0002088	lens development in camera-type eye	3/200	26/6399	0.0461186660626468	0.505233188701851	0.488112813886432	N1.HOG0021547/N1.HOG0019745/N1.HOG0013084	3	wdr17/foxe3/hsf1
GO:0030433	ubiquitin-dependent ERAD pathway	3/200	27/6399	0.0507277882958125	0.505233188701851	0.488112813886432	N1.HOG0019161/N1.HOG0008548/N1.HOG0021548	3	psmc6/clgn/fbxo2
GO:0006816	calcium ion transport	3/200	28/6399	0.0555517424974733	0.505233188701851	0.488112813886432	N1.HOG0022868/N1.HOG0013252/N1.HOG0003568	3	itpr2/pkd1b/cacna1sa
GO:0006260	DNA replication	4/200	47/6399	0.0581575625043021	0.505233188701851	0.488112813886432	N1.HOG0024112/N1.HOG0023417/N1.HOG0021523/N1.HOG0022041	4	prim1/pola2/mcm4/rfc5
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	2/200	13/6399	0.0604642079496306	0.505233188701851	0.488112813886432	N1.HOG0010634/N1.HOG0020241	2	casc3/nbas
GO:0000422	autophagy of mitochondrion	2/200	13/6399	0.0604642079496306	0.505233188701851	0.488112813886432	N1.HOG0020107/N1.HOG0026483	2	atg2a/snx7
