ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genesymbols
GO:0007154	cell communication	7/726	14/6394	0.000395299816781466	0.149818630560176	0.14646898474429	N1.HOG0006101/N1.HOG0005327/N1.HOG0002267/N1.HOG0001678/N1.HOG0001691/N1.HOG0003440/N1.HOG0016358	7	gjb1b/gja8b/slc8a4b/slc8a3/frem3/gja11/gja8a/gjd1a
GO:0055085	transmembrane transport	35/726	192/6394	0.00284908640582307	0.346338950146491	0.338595501879086	N1.HOG0004572/N1.HOG0010163/N1.HOG0006264/N1.HOG0002844/N1.HOG0010082/N1.HOG0022870/N1.HOG0005622/N1.HOG0002272/N1.HOG0001678/N1.HOG0026034/N1.HOG0017718/N1.HOG0014200/N1.HOG0022945/N1.HOG0013435/N1.HOG0009373/N1.HOG0013251/N1.HOG0006292/N1.HOG0020324/N1.HOG0004844/N1.HOG0001608/N1.HOG0024745/N1.HOG0014505/N1.HOG0001691/N1.HOG0012739/N1.HOG0022938/N1.HOG0005533/N1.HOG0013739/N1.HOG0011420/N1.HOG0008166/N1.HOG0004232/N1.HOG0011428/N1.HOG0023515/N1.HOG0016419/N1.HOG0012713/N1.HOG0011906	35	abcb10/abca2/abca5/slc12a1/kcnc1b/slc49a3/slc25a14/slc2a15a/cacna1sb/disp2/slc22a2/aqp12/slc2a3a/slc25a24/slc16a12b/slc30a9/si:dkey-5g14.1/slc26a2/slc24a3/hcn2b/slc8a4b/slc16a12a/slc8a3/abcc9/slco1c1/cacna1bb/aqp8a.2/kcnc1a/trpm3/kcng4b/kcnv2a/tpcn1/ryr1b/slc22a31/abcb11b/clcn4/slc16a13
GO:0006813	potassium ion transport	11/726	39/6394	0.00315409238398959	0.346338950146491	0.338595501879086	N1.HOG0002310/N1.HOG0010163/N1.HOG0020043/N1.HOG0002844/N1.HOG0002272/N1.HOG0009373/N1.HOG0002549/N1.HOG0013739/N1.HOG0026480/N1.HOG0014126/N1.HOG0022347	11	kcnj9/kcnc1b/atp1a1a.5/kcnk6/kcnmb2/hcn2b/kcnj8/abcc9/kcnn1a/kcnc1a/kcng4b/kcnv2a/atp1a1a.2/atp1a1a.3/atp1a1a.4
GO:0006816	calcium ion transport	9/726	29/6394	0.00365529234983104	0.346338950146491	0.338595501879086	N1.HOG0001678/N1.HOG0014200/N1.HOG0010406/N1.HOG0013251/N1.HOG0001608/N1.HOG0001691/N1.HOG0011420/N1.HOG0003568/N1.HOG0022970	9	psen1/cacna1sb/cacnb1/slc24a3/slc8a4b/slc8a3/itpr2/cacna1bb/ryr1b
GO:0031290	retinal ganglion cell axon guidance	7/726	21/6394	0.00656884766896068	0.419940405101691	0.410551375075116	N1.HOG0011189/N1.HOG0024503/N1.HOG0022480/N1.HOG0003939/N1.HOG0023164/N1.HOG0024248/N1.HOG0009607	7	ptch2/smo/boc/mycbp2/cpsf1/lhx2b/slit2
GO:0098609	cell-cell adhesion	10/726	38/6394	0.00817230554984094	0.419940405101691	0.410551375075116	N1.HOG0004384/N1.HOG0008395/N1.HOG0020751/N1.HOG0004379/N1.HOG0020298/N1.HOG0011902/N1.HOG0009814/N1.HOG0024351/N1.HOG0011662/N1.HOG0024248	10	fn1a/srpx2/cntn2/ctnna1/boc/celsr1a/palld/celsr2/crb2b/itga10
GO:0006811	monoatomic ion transport	33/726	191/6394	0.00856499351383774	0.419940405101691	0.410551375075116	N1.HOG0002310/N1.HOG0008235/N1.HOG0020043/N1.HOG0006264/N1.HOG0002844/N1.HOG0002943/N1.HOG0005622/N1.HOG0002272/N1.HOG0001678/N1.HOG0026034/N1.HOG0017718/N1.HOG0014200/N1.HOG0014610/N1.HOG0009373/N1.HOG0010406/N1.HOG0002549/N1.HOG0016365/N1.HOG0013251/N1.HOG0004844/N1.HOG0001608/N1.HOG0001691/N1.HOG0016701/N1.HOG0025824/N1.HOG0005533/N1.HOG0013739/N1.HOG0002417/N1.HOG0011420/N1.HOG0012196/N1.HOG0011428/N1.HOG0003568/N1.HOG0026480/N1.HOG0017338/N1.HOG0022347	33	chrnb1/slc12a1/grin3bb/kcnj9/kcnc1b/chrna8/atp1a1a.5/atp6v0d1/atp6v1ba/cacna1sb/atp6v1f/cacnb1/atp5pb/slc30a9/kcnk6/atp5f1b/slc26a2/slc24a3/hcn2b/slc8a4b/slc8a3/kcnj8/grik1b/itpr2/slco1c1/cacna1bb/kcnn1a/kcnc1a/trpm3/kcng4b/grin3ba/kcnv2a/tpcn1/ryr1b/atp1a1a.2/atp1a1a.3/atp1a1a.4/clcn4
GO:0006487	protein N-linked glycosylation	5/726	13/6394	0.0109820368081766	0.419940405101691	0.410551375075116	N1.HOG0026142/N1.HOG0020164/N1.HOG0007964/N1.HOG0023317/N1.HOG0017067	5	mgat2/trappc11/mgat4b/dolpp1/alg12
GO:0048839	inner ear development	5/726	13/6394	0.0109820368081766	0.419940405101691	0.410551375075116	N1.HOG0024503/N1.HOG0007462/N1.HOG0018254/N1.HOG0006694/N1.HOG0014603	5	smo/thrb/cd74b/six1b/six1a/cep290/cd74a
GO:0007224	smoothened signaling pathway	6/726	18/6394	0.0117238523685545	0.419940405101691	0.410551375075116	N1.HOG0024503/N1.HOG0001608/N1.HOG0007066/N1.HOG0005968/N1.HOG0024248/N1.HOG0011906	6	smo/boc/disp2/tnpo1/ryr1b/scube1
