Clade1	Clade2	Type	Count1	Universe1	Count2	Universe2	CommonCount1	CommonCount2	Intersect	CommonUniverse	PHyper	AAConvergeGeneCount	CommonAAConvergeGeneCount	CommonIntersectCount	AAConvergeAndRelaxIntenseConverge	CommonUniverseAA	PHyperAA	PHyperFDR	PHyperAAFDR
Anoplogaster_cornuta	Bassozetus	Relaxed	696	4444	1292	11660	662	339	62	4184	0.112326885014666	66	54	62	1	4184	0.55575015905898	0.179723016023465	0.741000212078639
Anoplogaster_cornuta	Bassozetus	Intensified	708	4444	623	11660	663	196	30	4184	0.615322536446335	66	54	30	2	4184	0.0565035454995748	0.689161240819896	0.122954926787794
Anoplogaster_cornuta	DeepseaAulopiformes	Relaxed	696	4444	1484	11583	658	476	75	4215	0.484981288287245	128	95	75	5	4215	0.026112606240775	0.565811503001786	0.0720934635070393
Anoplogaster_cornuta	DeepseaAulopiformes	Intensified	708	4444	954	11583	684	244	50	4215	0.0410814871484248	128	95	50	1	4215	0.682277317200323	0.0821629742968496	0.868352949164048
Anoplogaster_cornuta	DeepseaBeryciformes	Relaxed	696	4444	2329	9048	573	924	188	3769	6.63640554625939e-07	263	137	188	9	3769	0.242683618735366	3.09698925492105e-06	0.348468785876422
Anoplogaster_cornuta	DeepseaBeryciformes	Intensified	708	4444	1981	9048	621	792	202	3769	1.05801861062532e-13	263	137	202	10	3769	0.197151776878987	1.97496807316726e-12	0.306680541811757
Anoplogaster_cornuta	Ilyophis	Relaxed	696	4444	582	8523	505	168	39	3144	0.00834858941160873	37	29	39	4	3144	0.000384433048451426	0.0212509548659131	0.0015377321938057
Anoplogaster_cornuta	Ilyophis	Intensified	708	4444	338	8523	505	88	14	3144	0.561951052740579	37	29	14	0	3144	1	0.642229774560662	1
Anoplogaster_cornuta	Macrourus_sp	Relaxed	696	4444	289	1718	146	160	32	1001	0.0258478316570969	13	10	32	0	1001	1	0.0556722527999009	1
Anoplogaster_cornuta	Macrourus_sp	Intensified	708	4444	286	1718	125	164	28	1001	0.038212487764022	13	10	28	0	1001	1	0.0792555301772308	1
Anoplogaster_cornuta	Pachycara	Relaxed	696	4444	386	11613	656	86	20	4153	0.0434844036722554	9	5	20	0	4153	1	0.0839698829533208	1
Anoplogaster_cornuta	Pachycara	Intensified	708	4444	1080	11613	670	312	52	4153	0.420246151194951	9	5	52	1	4153	0.0610857693932604	0.511604010150375	0.122954926787794
