Clade1	Clade2	Type	Count1	Universe1	Count2	Universe2	CommonCount1	CommonCount2	Intersect	CommonUniverse	PHyper	AAConvergeGeneCount	CommonAAConvergeGeneCount	CommonIntersectCount	AAConvergeAndRelaxIntenseConverge	CommonUniverseAA	PHyperAA	PHyperFDR	PHyperAAFDR
Anoplogaster_cornuta	Bassozetus	Relaxed	750	4444	1873	11660	712	539	95	4184	0.36322407956889	66	54	95	2	4184	0.348189778149346	0.473036010601345	0.475576282350326
Anoplogaster_cornuta	Bassozetus	Intensified	755	4444	818	11660	707	268	40	4184	0.835069476805386	66	54	40	2	4184	0.0934543062664526	0.8993055904058	0.183342852669004
Anoplogaster_cornuta	DeepseaAulopiformes	Relaxed	750	4444	2002	11583	709	678	114	4215	0.521032291154389	128	95	114	6	4215	0.042512768587198	0.663132006923767	0.103509349603612
Anoplogaster_cornuta	DeepseaAulopiformes	Intensified	755	4444	1136	11583	730	307	62	4215	0.0975432464221579	128	95	62	1	4215	0.759209068280864	0.180998204575471	0.988737391249497
Anoplogaster_cornuta	DeepseaBeryciformes	Relaxed	750	4444	2346	9048	620	934	202	3769	9.68659171431242e-07	263	137	202	10	3769	0.197151776878987	5.42449136001495e-06	0.334560591067371
Anoplogaster_cornuta	DeepseaBeryciformes	Intensified	755	4444	1988	9048	663	794	211	3769	4.28093192189683e-13	263	137	211	10	3769	0.235589737070853	3.99553646043704e-12	0.376943579313366
Anoplogaster_cornuta	Ilyophis	Relaxed	750	4444	1064	8523	548	349	75	3144	0.0222336323838818	37	29	75	5	3144	0.000512820285222943	0.0498033365398952	0.0017948709982803
Anoplogaster_cornuta	Ilyophis	Intensified	755	4444	518	8523	544	146	23	3144	0.727339239419371	37	29	23	0	3144	1	0.815750324265115	1
Anoplogaster_cornuta	Macrourus_sp	Relaxed	750	4444	310	1718	163	174	39	1001	0.0126372109282825	13	10	39	0	1001	1	0.030768861390601	1
Anoplogaster_cornuta	Macrourus_sp	Intensified	755	4444	296	1718	136	171	29	1001	0.100286756290972	13	10	29	0	1001	1	0.180998204575471	1
Anoplogaster_cornuta	Pachycara	Relaxed	750	4444	635	11613	705	146	32	4153	0.069140562709868	9	5	32	0	4153	1	0.13351281075009	1
Anoplogaster_cornuta	Pachycara	Intensified	755	4444	1493	11613	714	450	82	4153	0.289491627011303	9	5	82	1	4153	0.0949454058464487	0.38598883601507	0.183342852669004
Anoplogaster_cornuta	Pseudoliparis	Relaxed	750	4444	1469	11504	713	427	84	4096	0.10912609490111	34	29	84	4	4096	0.00264470453315663	0.185183676195824	0.00740517269283855
Anoplogaster_cornuta	Pseudoliparis	Intensified	755	4444	2584	11504	704	792	143	4096	0.250668489161032	34	29	143	3	4096	0.0786233357248653	0.350935884825445	0.169342569253556
Bassozetus	DeepseaAulopiformes	Relaxed	1873	11660	2002	11583	1778	1922	589	11044	3.62453120442222e-71	1741	1556	589	179	11044	7.1491701344703e-26	2.02973747447644e-69	4.00353527530337e-24
Bassozetus	DeepseaAulopiformes	Intensified	818	11660	1136	11583	775	1087	134	11044	1.97569742703916e-11	1741	1556	134	22	11044	0.251005013983996	1.58055794163133e-10	0.379899480624426
Bassozetus	DeepseaBeryciformes	Relaxed	1873	11660	2346	9048	1262	2231	391	8602	7.49807174480649e-06	664	561	391	65	8602	1.01918991839465e-12	2.79928011806109e-05	1.42686588575251e-11
Bassozetus	DeepseaBeryciformes	Intensified	818	11660	1988	9048	576	1899	122	8602	0.72006091094002	664	561	122	10	8602	0.272528207671153	0.815750324265115	0.401620516568016
Bassozetus	Ilyophis	Relaxed	1873	11660	1064	8523	1268	1028	280	8133	4.95475267126876e-25	485	433	280	55	8133	6.82786811812192e-18	9.24887165303501e-24	1.91180307307414e-16
