V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	fdr
N1.HOG0025867	Success	OG0012777	249	0.73936839374046	-25361.968268683	-25023.453063598	-25023.397722321	1.0833328410415	0.11068255245482	2.386092490934e-06	0.44025992164789	0.32145641265693	0.54021774266123	9.613701594884	0.019522335690879	8.1126731911726e-07	0.44025992164789	0.29244835148458	0.54021774266123	11.609077406152	0.019522335690879	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/96301560/	0.889601758851554
N1.HOG0024121	Success	OG0011071	193	8.6590517366369e-06	-14359.133873827	-14100.900287109	-14091.007019372	1.0477043723993e-05	19.786535474439	0	0.82346736530455	0.59706710052063	0.1763536652542	12.076749185677	0.00017896944124741	0	0.82346736530455	0.9999945967331	0.1763536652542	1.0000261016116	0.00017896944124741	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/72490361/	2.96096372309489e-05
N1.HOG0022328	Success	OG0009381	2038	0	-116291.47919862	-113731.57998144	-113582.79929583	6.205299347377	297.56137122825	8.3678493576597e-05	0.2443004200493	0.010378510361153	0.70929210151336	1.8310487675196	0.046407478437339	4.9957236258017e-26	0.2443004200493	4.892422494902e-13	0.70929210151336	42.670878898037	0.046407478437339	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/95605440/	0
N1.HOG0004976	Success	OG0000657	368	0.033455525026749	-26318.83112734	-25738.236266785	-25735.975109072	0.386941560095	4.5223154258783	0.00044283565398954	0.79914895472964	0.95353674389071	0.18218147517307	8.6433510307916	0.018669570097283	0.050383910484706	0.79914895472964	0.98175878035185	0.18218147517307	2.3037813221778	0.018669570097283	n4	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/32888767/	0.0726784130713145
N1.HOG0025855	Success	OG0012765	234	0.41406595072932	-17934.447024816	-17739.391283719	-17739.057735778	0.65383362704386	0.6670958820032	0	0.32620774700063	0.14215556779962	0.65106225508108	5.7259150454156	0.022729997918283	0	0.32620774700063	0.27928559164101	0.65106225508108	3.1297127548601	0.022729997918283	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/93583184/	0.601359345457285
N1.HOG0024250	Success	OG0011200	600	0.5500706312918	-47178.945325093	-46114.455499843	-46114.276904518	0.82716227513894	0.35719065036392	0.0081011428116312	0.77216041798975	0.49642044419861	0.20569784178221	NA	NA	0.018622088635513	0.77216041798975	5.4311578898017	0.02214174022804	NA	NA	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/68932962/	0.734943749546398
N1.HOG0022497	Success	OG0009531	554	0.13458688207787	-39403.134630555	-39044.981387124	-39043.861995688	0.68499233821896	2.2387828721548	0.00028588053119929	0.58252897278784	0.30008427026447	0.40986792086245	10.417657321457	0.0076031063497173	0.0037369181839233	0.58252897278784	0.43844550165827	0.40986792086245	4.9792587865062	0.0076031063497173	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/67132635/	0.244907162940163
N1.HOG0018341	Success	OG0006257	107	0.0015639568607879	-9799.1327767782	-9689.5877123101	-9684.5868617154	2.7394029803643	10.001701189434	3.7790542414933e-05	0.39004835190654	0.20255228119527	0.58014458749197	4.9242284294657	0.029807060601487	7.6677889882402e-13	0.39004835190654	0.012598701052712	0.58014458749197	78.812173418356	0.029807060601487	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/93799897/	0.00425328574583977
N1.HOG0012169	Success	OG0002798	427	0	-25794.816208118	-25117.393829129	-24906.619024798	0	421.54960866131	0	0.92989458946123	1	0.031398938277631	3.7548159100414	0.038706472261143	1	0.92989458946123	1	0.031398938277631	1	0.038706472261143	n118	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/50063721/	0
N1.HOG0008799	Success	OG0001558	38	0.59426538426229	-3640.4000799456	-3606.9626901772	-3606.8208240883	0.14789226059396	0.28373217778517	0.00014513417440002	0.55951964774052	0.0002325761277508	0	1.1352223405247	0.44048035225948	0.27061722871901	0.55951964774052	0.29016371582734	0	1.0189339742498	0.44048035225948	n209	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_DeepseaBeryciformes/hyphytmp/13510293/	0.772873619529457
