V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	fdr
N1.HOG0024121	Success	OG0011071	193	0	-14320.28182761	-14088.641850678	-14049.794738752	1.2669369812811e-06	77.6942238519	0	0.65366782941196	0.012739401387242	0.24723778016305	1	0.099094390424991	0	0.65366782941196	0.99999447229877	0.24723778016305	1	0.099094390424991	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/66797832/	0
N1.HOG0028057	Success	OG0014839	49	1	-2429.0907197656	-2390.5442784605	-2390.5442784605	1.0028039254957	0	0	0.28206842772289	0.051518099441236	0.63396782295463	1.6817942948514	0.08396374932248	0	0.28206842772289	0.051091454240239	0.63396782295463	1.6842475536208	0.08396374932248	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/10819446/	1
N1.HOG0025855	Success	OG0012765	234	0.35893859212039	-17934.500274855	-17738.511400877	-17738.090599163	0.70396637325349	0.84160342760879	0.05376031796881	0.8589947365756	0.50641793252476	0.12549581976555	7.6457323692399	0.015509443658851	0.12772850172197	0.8589947365756	0.61941871914399	0.12549581976555	4.1869457539416	0.015509443658851	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/28889600/	0.654812439812403
N1.HOG0018341	Success	OG0006257	107	0.23916046346523	-9803.1181536658	-9689.5410952727	-9688.8483274264	0.31166209292119	1.3855356925487	4.0999734268424e-05	0.40439691930577	0.2301585998377	0.57682718497175	8.5072118404564	0.018775895722479	0.04292103217418	0.40439691930577	0.63265663062287	0.57682718497175	1.9488546044384	0.018775895722479	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/48511279/	0.497802367936185
N1.HOG0012169	Success	OG0002798	427	0.9643603642098	-25777.616122003	-25186.72955265	-25186.728554387	0.98902780846675	0.0019965278843301	9.3112165947451e-05	0.69873419883171	0.027610711826764	0.22870924844096	2.121143228462	0.072556552727332	0.00010309444446313	0.69873419883171	0.028719865280006	0.22870924844096	2.1037145290136	0.072556552727332	n118	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/44261258/	1
N1.HOG0008799	Success	OG0001558	38	0.004945732966912	-3639.0841618976	-3601.1066908601	-3597.1571029971	0	7.8991757260201	0	0.50654235839134	0.93566831105078	0.49024542749137	9999999171.5964	0.0032122141172872	1	0.49024542749137	1	0.50654235839134	1	0.0032122141172872	n209	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/39284276/	0.0185162909056082
N1.HOG0021956	Success	OG0009039	328	0.0017467635982886	-39974.196485324	-39097.929523143	-39093.030389402	1.6334844811	9.7982674817176	0	0.50998842797371	0.52676967220707	0.44649571252897	11.27747790695	0.043515859497323	0	0.50998842797371	0.35097148803272	0.44649571252897	52.332556172078	0.043515859497323	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/98249961/	0.00712166736770141
N1.HOG0020065	Success	OG0007473	302	0.53408791202902	-28847.083772977	-28513.310202575	-28513.116898688	0.70834430203092	0.38660777229234	0	0.44566539431935	0.14620990156949	0.4828135380871	2.0156746182796	0.071521067593554	0	0.44566539431935	0.25616280101889	0.4828135380871	1.6429883159674	0.071521067593554	n2	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/82904230/	0.833972832416361
N1.HOG0026794	Success	OG0013656	30	0.33669090865508	-2343.7896539846	-2327.4482136927	-2326.9867182913	0.70034418728639	0.92299080268185	0.061678502475514	0.65657684420653	1	0.34342315579347	13.616577221761	0	0.14212721757618	0.65657684420653	1	0.34342315579347	6.2264126404747	0	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/15585872/	0.63229928675567
N1.HOG0024285	Success	OG0011235	260	0.0018264295276845	-21788.061160174	-21074.312851579	-21069.454712201	0.63531103253621	9.7162787576526	1.3013873229563e-06	0.51796576469424	0.012131435644633	0.38473369988205	1.5669615156473	0.097300535423711	0.00018231296832948	0.51796576469424	0.060630099439484	0.38473369988205	1.3302176601352	0.097300535423711	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/19955983/	0.00741924389490852
N1.HOG0019773	Success	OG0007262	366	0.82553313575807	-19171.754612124	-18666.507456737	-18666.483161154	0.9306520168807	0.048591166836559	7.8063530250137e-06	0.37585991877769	0.011454597036445	0.60683088886956	3.6120533193309	0.017309192352756	1.7646013383405e-05	0.37585991877769	0.015616569942925	0.60683088886956	3.3042661928419	0.017309192352756	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/28380152/	1
N1.HOG0010899	Success	OG0002261	325	0.024112061414407	-26063.359286035	-25246.633523718	-25244.090246823	1.3782577464046	5.086553790381	6.4542396231634e-05	0.4531629161865	0.047871371479979	0.53067714645459	13.865631461315	0.016159937358914	1.6783654471314e-06	0.4531629161865	0.015163670645659	0.53067714645459	37.487559870082	0.016159937358914	n158	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/64582894/	0.0783862479338879
N1.HOG0026812	Success	OG0013674	226	0.46553578543999	-15442.305861336	-14934.149103635	-14933.882827477	2.5388937054938	0.53255231520598	6.3716369747022e-05	0.53522154471	0.10854269288029	0.4558685795433	8.2424460637258	0.008909875746701	2.2255601404087e-11	0.53522154471	0.0035603477045491	0.4558685795433	211.7235179492	0.008909875746701	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/86772158/	0.768800085654149
N1.HOG0025036	Success	OG0011963	280	0.73186917936154	-24334.629984394	-23894.233630439	-23894.174929297	1.002002002002	0.11740228498093	0.00032651808881718	0.57660961892602	0.1741203818987	0.40270233495124	4.8004802608086	0.020688046122733	0.00032131284027815	0.57660961892602	0.17351210974197	0.40270233495124	4.815580215977	0.020688046122733	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/31632493/	0.967089279098272
N1.HOG0023411	Success	OG0010397	306	1.9573231924142e-13	-21306.738675999	-21069.351929276	-21042.328571761	50	54.046715029195	8.8433987128255e-05	0.22649988633165	0.021257390604729	0.70945721436419	1.0738173778716	0.064042899304162	2.1426947291523e-203	0.22649988633165	2.3740925156633e-84	0.70945721436419	35.198276563189	0.064042899304162	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/97599067/	1.76079843463334e-12
N1.HOG0014637	Success	OG0004073	245	0.71504576385228	-23459.909787206	-22858.547060418	-22858.480415816	1.4266024558978	0.13328920311324	6.6315327329295e-06	0.51925908134524	0.087882125530111	0.42465886301963	3.3314620700399	0.056082055635135	4.097337111176e-08	0.51925908134524	0.031143393576474	0.42465886301963	5.5666279184013	0.056082055635135	n2	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/47854087/	0.960979657615042
N1.HOG0003417	Success	OG0000414	378	0.50334154706809	-24769.929863949	-23940.817310959	-23940.593368981	0.8290432664425	0.44788395497744	2.8757724187814e-05	0.50850917608786	0.067825168056762	0.46870225006332	9.4113460424842	0.022788573848827	0.00017183475525446	0.50850917608786	0.10744160237483	0.46870225006332	6.415040767789	0.022788573848827	n417	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/13461325/	0.8032898275313
N1.HOG0025046	Success	OG0011973	184	0.9245016747224	-19340.684951204	-18865.3891309	-18865.38464072	0.99571873573615	0.0089803605951602	7.8200485503939e-05	0.42074881775929	0.035540532320482	0.53472350358389	2.4397090296747	0.044527678656817	8.1431363169417e-05	0.42074881775929	0.036051941872155	0.53472350358389	2.4304110837289	0.044527678656817	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Anoplogaster_cornuta/hyphytmp/61225570/	1
