V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	fdr
N1.HOG0025855	Success	OG0012765	234	0.61842548226392	-17934.600220753	-17738.51150042	-17738.38745704	0.81933140522122	0.24808675963868	0.054280552965551	0.86210049253259	0.51536021128606	0.12235524967278	7.5978782180674	0.015544257794629	0.091887049410607	0.86210049253259	0.58092946854085	0.12235524967278	5.2671887651288	0.015544257794629	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/37393743/	0.904217003003757
N1.HOG0018341	Success	OG0006257	107	1	-9803.6267549683	-9689.5465460392	-9689.5465460392	0.92505526333645	-3.6379788070917e-12	4.1252298570271e-05	0.40552374263296	0.2336473722217	0.57646181847301	8.8133994110922	0.018014438894037	8.7911812878437e-05	0.40552374263296	0.26054571675601	0.57646181847301	7.4870360638596	0.018014438894037	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/83362545/	1
N1.HOG0020065	Success	OG0007473	302	0.97712201626254	-28847.140763665	-28513.377029614	-28513.376618422	0.98019683215672	0.00082238355389563	0.019205106725185	0.68594757581706	0.31144710738194	0.26890698613999	2.7177881527256	0.045145438042951	0.020768757318031	0.68594757581706	0.31872556330446	0.26890698613999	2.6645063324523	0.045145438042951	n2	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/86427694/	1
N1.HOG0003352	Success	OG0000403	68	0.79797673386313	-1451.3799534246	-1444.3565726225	-1444.3238132075	1.2842756700478	0.065518829926532	0.0053014221647353	0.79861457174432	0.083307108058415	0.19861787440418	9.1095973627185	0.0027675538515055	0.0011953429136313	0.79861457174432	0.041101552598985	0.19861787440418	17.071097970768	0.0027675538515055	n304	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/54243531/	1
N1.HOG0025046	Success	OG0011973	184	0.58301987084152	-19343.619243046	-18866.187870013	-18866.037181049	0.92101817961222	0.30137792749883	3.4543396844994e-05	0.40809476289952	0.033857666721983	0.54681103160108	2.4150785503909	0.045094205499396	7.7759434369617e-05	0.40809476289952	0.044237175550235	0.54681103160108	2.2526133451888	0.045094205499396	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/85194287/	0.877082432667015
N1.HOG0006391	Success	OG0000944	197	1	-11223.84560901	-11065.799342297	-11065.799342297	1	0	0	0.4467464926298	0.0059518685847454	0.41309709564025	1.0919380803422	0.14015641172995	0	0.4467464926298	0.0059518685847454	0.41309709564025	1.0919380803422	0.14015641172995	n254	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/78551664/	1
N1.HOG0025994	Success	OG0012902	192	0.73528551616132	-16672.210514946	-16457.17792388	-16457.120767037	0.67223276542836	0.11431368681951	0.010182691909326	0.82587964383312	0.96584387275635	0.1689278648526	6.0087347946232	0.005192491314275	0.045795200950268	0.82587964383312	0.97690862322045	0.1689278648526	3.3382854844481	0.005192491314275	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/62754211/	0.979703226812316
N1.HOG0016533	Success	OG0005141	221	1.1114735138373e-05	-16047.187106347	-15742.802709561	-15733.147920126	3.6046992260838	19.309578869947	0.00062591137816267	0.54119624554447	0.080529957793388	0.43112548633171	3.8462049844006	0.027678268123821	2.8339510001787e-12	0.54119624554447	0.00011384284595213	0.43112548633171	128.48899567067	0.027678268123821	n41	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/38951556/	5.94863394633172e-05
N1.HOG0006467	Success	OG0000957	378	0.078368813207328	-18030.980810031	-17469.957511894	-17468.408307025	2.5969161748058	3.0984097386317	0.00011384206913536	0.47115409036185	0.014987007597226	0.43573041291291	2.0075538950399	0.093115496725233	5.7352044264324e-11	0.47115409036185	1.8301411567341e-05	0.43573041291291	6.1094396849958	0.093115496725233	n56	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/60342168/	0.204872533520001
N1.HOG0024221	Success	OG0011171	119	0.10701516952296	-12757.87573189	-12537.543509197	-12536.244631407	0.26804232908635	2.5977555806094	1.7981715646801e-05	0.38300607165487	0.11306846923988	0.47048771666016	2.2748275927883	0.14650621168497	0.053467993061319	0.38300607165487	0.5575135847792	0.47048771666016	1.2464570087084	0.14650621168497	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/29784836/	0.262645801772065
N1.HOG0022444	Success	OG0009482	312	0.96728170893908	-22610.591854613	-22404.459507589	-22404.458666359	0.96702492782824	0.0016824595586513	0.00038668117025221	0.54585544335933	0.051590226996189	0.44354648117986	2.0749733912254	0.010598075460817	0.00050105488959346	0.54585544335933	0.056887994073664	0.44354648117986	2.0256248709969	0.010598075460817	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/76570725/	1
N1.HOG0015503	Success	OG0004544	269	0.29960516669171	-19338.863601958	-18838.767980707	-18838.230005324	0.93974508175718	1.0759507656621	3.5488151019557e-05	0.36195694446487	0.031987957156255	0.61437497680834	5.647651714319	0.023668078726794	6.5798006394664e-05	0.36195694446487	0.039361208274239	0.61437497680834	5.0881999233799	0.023668078726794	n2	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/69196588/	0.555062712607052
N1.HOG0027918	Success	OG0014709	58	0.87613271921193	-3882.1889033345	-3833.9484144521	-3833.9362661751	1.3740532707925	0.024296553814565	0	0.65828769638059	0.99298059088536	0.32491159764556	9.2945245972001	0.016800705973851	0	0.65828769638059	0.99036763871508	0.32491159764556	21.399110681927	0.016800705973851	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/46311062/	1
N1.HOG0022315	Success	OG0009370	187	0.5897763792767	-16784.600104869	-16334.809805683	-16334.664458869	0.73914226003446	0.29069362870359	1.1399386402917e-05	0.48584748593144	0.081577485385655	0.4525714935367	3.6765642992637	0.061581020531865	0.00022198938186507	0.48584748593144	0.15685400859216	0.4525714935367	2.6178345807405	0.061581020531865	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/44614884/	0.882609598952413
N1.HOG0014566	Success	OG0004030	172	0.070343531412621	-17309.070352078	-17090.741927528	-17089.104434582	7.9669574496354e-06	3.2749858907919	0	0.28213357652107	0.029871658236637	0.47014673740349	1	0.24771968607544	0	0.28213357652107	0.99997202963739	0.47014673740349	1	0.24771968607544	n2	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/37602402/	0.188348588236705
N1.HOG0011310	Success	OG0002417	301	0.80046624006298	-23078.612211865	-22718.680209968	-22718.648270268	1.0035340979485	0.063879401539452	0.00084256223879479	0.83851498893001	0.79398136351429	0.15898113208864	22.846762511514	0.0025038789813515	0.00082174442755262	0.83851498893001	0.79333429452062	0.15898113208864	23.10079290585	0.0025038789813515	n149	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/25777974/	1
N1.HOG0026954	Success	OG0013807	95	0.7045467258325	-6289.6612250451	-6186.959021822	-6186.8871292678	1.7795780750659	0.14378510829738	2.1050422209125e-05	0.47899760585161	0.1577317848563	0.51557631099152	23.164930275072	0.0054260831568616	4.7574855329313e-09	0.47899760585161	0.037379597913173	0.51557631099152	268.42522081249	0.0054260831568616	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/28535263/	0.969643657612975
N1.HOG0010279	Success	OG0002017	206	0.22133995140267	-11965.48542439	-11669.319960013	-11668.572128718	22.066234933527	1.4956625897212	1.9081069677772e-05	0.49756910488518	0.032525443292027	0.49986475659996	66.909088246022	0.0025661385148661	7.255558003818e-105	0.49756910488518	1.4803627175126e-33	0.49986475659996	1.9124203074772e+40	0.0025661385148661	n92	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/16657904/	0.453232463062917
N1.HOG0024344	Success	OG0011291	473	0	-34938.119177811	-34116.385894226	-34055.026914717	2.6702828086473e-08	122.71795901711	0	0.62577986575839	0.077278859785659	0.37110707884048	27.472972116328	0.0031130554011372	0	0.62577986575839	0.99999993163182	0.37110707884048	1.0000000884719	0.0031130554011372	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/53018402/	0
N1.HOG0012320	Success	OG0002868	226	0.99701495422749	-20060.035217635	-19766.040132061	-19766.040125062	0.998001998002	1.3996643247083e-05	0	0.13878231512079	0.044091231050045	0.76213590781585	1.5071501098716	0.099081777063361	0	0.13878231512079	0.044367076417393	0.76213590781585	1.5059153234491	0.099081777063361	n1	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/89376086/	1
N1.HOG0022453	Success	OG0009491	401	0.73305257424444	-31815.583416982	-31200.04595318	-31199.987789573	0.85367984461196	0.11632721433853	1.7437401362479e-05	0.58878986621509	0.14998834863559	0.38674582890195	3.7208152659528	0.024464304882961	8.6646074478797e-05	0.58878986621509	0.19797799185436	0.38674582890195	3.0700274006707	0.024464304882961	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/29325238/	0.979303516758902
N1.HOG0020358	Success	OG0007686	233	0.29135760464604	-19370.480054237	-19200.070089468	-19199.513420731	0.0001139388701864	1.113337474846	0	0.61166991122812	0.24052780328956	0.35195651066737	2.5081679549736	0.036373578104508	0	0.61166991122812	0.99983765945047	0.35195651066737	1.0001047782718	0.036373578104508	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/46850322/	0.54629201655946
N1.HOG0004620	Success	OG0000592	164	1.3544720900427e-14	-10087.908063696	-9822.3730922884	-9792.7273580234	1.827490753868e-06	59.2914685301	0	0.58039853555613	0.048651477937155	0.3529192416957	1.9312015265771	0.066682222748175	0	0.58039853555613	0.99999447537714	0.3529192416957	1.0000012027498	0.066682222748175	n109	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/42747714/	1.61596045187039e-13
N1.HOG0027355	Success	OG0014175	64	0.45592061384026	-3903.6413138437	-3873.3197345611	-3873.0417891089	0.35429854365184	0.55589090451031	0.00049041881403532	0.54349721689727	0.32012927593697	0.45650278310273	1.0018856314042	0	0.067216013478213	0.54349721689727	0.66794008411194	0.45650278310273	1.0006676701707	0	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/39522763/	0.740332338920195
N1.HOG0025591	Success	OG0012512	47	0.70276100233818	-3062.643982134	-3055.2487153836	-3055.1759076046	0.67112567991515	0.14561555797536	0.0088123588916296	0.42192383880422	0.1104191000019	0.57723375298559	9999999171.5964	0.00084240821018732	0.041773281189825	0.42192383880422	0.22790947992145	0.57723375298559	5143476.6785579	0.00084240821018732	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/91321726/	0.968975443031295
N1.HOG0025350	Success	OG0012273	247	0.88263505523183	-22414.552650287	-22091.724978291	-22091.714081034	0.9415678369538	0.021794513166242	0.00022338993850586	0.81132803768629	0.73052867824946	0.18001377366766	9.4495497754818	0.0086581886460507	0.00036508645373426	0.81132803768629	0.74405534173721	0.18001377366766	8.2873510452221	0.0086581886460507	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/42396214/	1
N1.HOG0021798	Success	OG0008899	210	0.53068602485441	-12702.696903046	-12268.747004458	-12268.550465581	0.17218787117563	0.39307775260386	8.5866114894914e-05	0.40939857770047	0.0068741041447382	0.58187302087983	22.010346726463	0.0087284014196929	0.19945890669909	0.40939857770047	0.42422362015999	0.58187302087983	1.7028800789376	0.0087284014196929	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/41312213/	0.826918952616891
N1.HOG0008089	Success	OG0001325	69	0.8392479725276	-5325.9031044231	-5214.2908119091	-5214.270236731	0.85180676057043	0.041150356162689	1.7209984350178e-05	0.44373422801623	0.1024246415097	0.50470504960829	3.6794126612019	0.051560722375488	8.7459220062756e-05	0.44373422801623	0.14356739572878	0.50470504960829	3.0334298075399	0.051560722375488	n111	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/55561409/	1
N1.HOG0027217	Success	OG0014044	28	0.00017283775497134	-2123.5706491801	-2129.3418636173	-2122.2891140859	50	14.105499062634	2.4245150575774e-06	0.77625347534688	2.4561229012526e-06	0.0010721449401719	1.1266232813055	0.22267437971295	1.7031162135745e-281	0.77625347534688	3.2546532647142e-281	0.0010721449401719	388.09323937398	0.22267437971295	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Macrourus_sp/hyphytmp/94309583/	0.000787626692415815
