V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	fdr
N1.HOG0025867	Success	OG0012777	249	0.25786885599568	-25362.192079285	-25023.481354298	-25022.841273135	0.59317011389696	1.2801623247578	0	0.436237143617	0.31636533396448	0.54382879165879	9.4968426477353	0.019934064724206	0	0.436237143617	0.50527404101787	0.54382879165879	3.8007630075516	0.019934064724206	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Ilyophis/hyphytmp/58403124/	0.622915961731037
N1.HOG0024121	Success	OG0011071	193	0.8009560109112	-14381.228033817	-14060.444938222	-14060.413158486	0.89060535986103	0.063559471534973	0	0.68005111604347	0.15593508326198	0.3123707360919	8.4085461458845	0.0075781478646292	0	0.68005111604347	0.19108713766249	0.3123707360919	6.6613369259036	0.0075781478646292	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Ilyophis/hyphytmp/20850837/	0.974385966456774
N1.HOG0022328	Success	OG0009381	2038	0.015887914092524	-116558.12486357	-113754.49546598	-113751.58784758	50	5.8152367996227	0.0070251335694114	0.93464224139281	0.99096573039852	0.063715840791927	10089.648607785	0.001641917815261	2.1514402856761e-108	0.93464224139281	0.63523116691485	0.063715840791927	1.5624353859508e+200	0.001641917815261	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Ilyophis/hyphytmp/85298038/	0.130707231477396
N1.HOG0011693	Success	OG0002588	740	0.58566917133148	-55110.225682728	-53875.156331338	-53875.00775199	1.2971279264059	0.297158694666	0.029489999362257	0.8763284867227	1	0.10526996756619	10.716936467866	0.01840154571111	0.01035076381255	0.8763284867227	1	0.10526996756619	21.683701207253	0.01840154571111	n174	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Ilyophis/hyphytmp/51252481/	0.886754685104894
N1.HOG0028057	Success	OG0014839	49	0.022751476943533	-2435.5956171837	-2390.5395744907	-2387.945883958	15.757005314083	5.187381065406	0	0.28047215780883	0.058374890371769	0.63571631589651	1.4363481994435	0.083811526294659	0	0.28047215780883	3.625916128625e-20	0.63571631589651	300.56781156542	0.083811526294659	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Ilyophis/hyphytmp/14335679/	0.164610219006563
N1.HOG0025855	Success	OG0012765	234	0.24470445159944	-17934.524385184	-17739.075241989	-17738.398598923	0.61446040611127	1.3532861309286	0	0.38647613258407	0.16029395333409	0.59208531750228	6.032417895954	0.021438549913652	0	0.38647613258407	0.32467815020188	0.59208531750228	3.0170400458127	0.021438549913652	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Ilyophis/hyphytmp/76441587/	0.610722120346128
N1.HOG0024250	Success	OG0011200	600	0.65049606578379	-47230.587859307	-46207.738062902	-46207.635425261	0.8783238425919	0.2052752829477	0	0.73095612268263	0.41105534728857	0.23760337483968	5.8653525056933	0.031440502477685	0	0.73095612268263	0.45801471356063	0.23760337483968	4.7294543960978	0.031440502477685	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Ilyophis/hyphytmp/97364616/	0.91642297324774
N1.HOG0022497	Success	OG0009531	554	0.93555484825507	-39433.334716595	-39044.09028026	-39044.087011249	0.87417891675068	0.0065380229643779	0.001365935596692	0.58508682782635	0.29817505406645	0.40675008030575	9.7079715625407	0.0081630918679058	0.0031322289221588	0.58508682782635	0.34721133620724	0.40675008030575	7.2933477075473	0.0081630918679058	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Ilyophis/hyphytmp/89976084/	1
N1.HOG0018341	Success	OG0006257	107	0.44717276931226	-9802.3927450147	-9689.5409361864	-9689.2520321476	0.75952345966228	0.57780807774543	4.1071513260353e-05	0.40544201338907	0.23096700730124	0.57593735168706	8.6251080148694	0.018620634923877	0.00046599500362426	0.40544201338907	0.32854983538846	0.57593735168706	5.1373023078217	0.018620634923877	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Ilyophis/hyphytmp/57943037/	0.800515335611929
N1.HOG0004656	Success	OG0000603	376	0.74716616844793	-16598.003160551	-16322.464502769	-16322.412538905	0.88645693559263	0.10392772839259	0.018856222028182	0.9688866880184	1	0.018385965033918	4.5466004494709	0.01272734694768	0.029598168840039	0.9688866880184	1	0.018385965033918	3.828344547034	0.01272734694768	n218	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Ilyophis/hyphytmp/47666607/	0.954407388455129
