V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	fdr
N1.HOG0025867	Success	OG0012777	249	0.57994864749052	-25361.814415074	-25023.470472034	-25023.317313197	1.5760124764625	0.30631767410523	2.3284072593848e-06	0.43977276761229	0.31997954579037	0.54044929706325	9.4047685403973	0.019777935324465	1.3256064774867e-09	0.43977276761229	0.16598408189645	0.54044929706325	34.198634675128	0.019777935324465	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pachycara/hyphytmp/19588793/	1
N1.HOG0024121	Success	OG0011071	193	1	-14381.501018673	-14060.443764118	-14060.443767022	1.167723461153	-5.8087534853257e-06	0	0.6797927121462	0.15576091640389	0.31257886761577	8.3282007773895	0.0076284202380244	0	0.6797927121462	0.11402887435661	0.31257886761577	11.883632637428	0.0076284202380244	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pachycara/hyphytmp/71075098/	1
N1.HOG0022328	Success	OG0009381	2038	7.4690414597622e-07	-116553.54266581	-113731.29894207	-113719.05386338	5.1050501111489	24.490157382883	7.5032029635452e-05	0.24129519394675	0.023555537591767	0.73435443131	4.1112577350837	0.024350374743243	8.7685478992755e-22	0.24129519394675	4.8916265361076e-09	0.73435443131	1362.6101787339	0.024350374743243	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pachycara/hyphytmp/87176846/	1.63041312917704e-05
N1.HOG0015013	Success	OG0004278	192	1	-12914.983068168	-12598.938804075	-12598.938804075	0.92505526333645	0	6.5460125662698e-05	0.31563169373984	0.043741927260169	0.55582059542461	3.0657408834257	0.12854771083555	0.00013475576349426	0.31563169373984	0.055303862229124	0.55582059542461	2.8188513523083	0.12854771083555	n1	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pachycara/hyphytmp/23443520/	1
N1.HOG0011693	Success	OG0002588	740	0.76196836964454	-55112.718120771	-53873.74357025	-53873.697696959	1.1501869112262	0.091746583115309	0.020546467619834	0.86148869811567	0.99564254995916	0.12325281831587	12.966514035779	0.015258483568466	0.011463899626787	0.86148869811567	0.99498975999295	0.12325281831587	19.052620577819	0.015258483568466	n174	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pachycara/hyphytmp/32239016/	1
N1.HOG0004976	Success	OG0000657	368	0.17830758178544	-26316.967604079	-25738.917855869	-25738.012019009	2.1292650950383	1.8116737206656	0.00044155210714875	0.78630207196104	0.75429266107479	0.17975449091822	5.4311102675943	0.033943437120742	7.1825258493019e-08	0.78630207196104	0.54859260082684	0.17975449091822	36.709011335737	0.033943437120742	n4	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pachycara/hyphytmp/15394828/	0.574122968252607
N1.HOG0025855	Success	OG0012765	234	0.7110732266685	-17934.452018442	-17738.617408565	-17738.548804893	0.46779437213536	0.13720734421804	0.041321019971099	0.77019293075904	0.34101633493575	0.21216165280692	6.9127615779915	0.017645416434043	0.22524367125236	0.77019293075904	0.60455366710766	0.21216165280692	2.4704967270675	0.017645416434043	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pachycara/hyphytmp/53534085/	1
N1.HOG0024250	Success	OG0011200	600	0.84542298023155	-47228.879750982	-46204.51123475	-46204.49222973	0	0.038010040050722	0.032807797068398	0.87644639908874	0.90602389676994	0.099358911455333	NA	NA	1	0.87644639908874	1	0.024194689455927	NA	NA	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pachycara/hyphytmp/26289247/	1
N1.HOG0022497	Success	OG0009531	554	0.88527200500254	-39433.478652139	-39043.850792378	-39043.840382673	0.92888570781908	0.020819410230615	0.00077977396854603	0.57659149134772	0.29092214198444	0.41481265149319	9.3090624472797	0.0085958571590835	0.0012971618771868	0.57659149134772	0.31762151395464	0.41481265149319	7.9433350829464	0.0085958571590835	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pachycara/hyphytmp/23703036/	1
N1.HOG0018341	Success	OG0006257	107	1	-9803.6268085403	-9690.4471323214	-9690.4471323214	0.92505526333645	0	0.0004813112015724	0.46306386244286	0.26389714819626	0.51990091793064	9.2487612798317	0.017035219626501	0.00085321932068499	0.46306386244286	0.29160510406308	0.51990091793064	7.8285384912437	0.017035219626501	n0	/public4/group_crf/home/cuirf/deepsea/cellpaper/hyphy/Relax_Pachycara/hyphytmp/29739524/	1
